freqO0C1	fluxO0C1	freqO0C2	fluxO0C2	freqO0C3	fluxO0C3	freqO1C1	fluxO1C1	freqO1C2	fluxO1C2	freqO1C3	fluxO1C3	freqO2C1	fluxO2C1	freqO2C2	fluxO2C2	freqO2C3	fluxO2C3	freqO3C1	fluxO3C1	freqO3C2	fluxO3C2	freqO3C3	fluxO3C3	freqO4C1	fluxO4C1	freqO4C2	fluxO4C2	freqO4C3	fluxO4C3	freqO5C1	fluxO5C1	freqO5C2	fluxO5C2	freqO5C3	fluxO5C3	freqO6C1	fluxO6C1	freqO6C2	fluxO6C2
1952.22844249	0.81337761	1964.86742216	1.06206023	1978.07790093	0.96934815	2021.97690740	1.01043357	2035.75286604	0.92809366	2048.29146862	0.92305701	2096.89163030	1.01034017	2111.12221843	0.93766780	2125.35951006	1.00904185	2177.53412046	1.00594127	2191.82636652	1.00081102	2206.01569356	1.02505159	2264.59682352	0.98570848	2279.98631305	1.00110096	2294.57577401	0.98735978	2358.88679377	1.07830888	2374.89606809	0.99528827	2390.07847012	0.99154969	2461.26658548	0.99403162	2478.00051965	1.02264815
1952.23464149	0.85368511	1964.87332516	1.05849636	1978.08343593	0.96919880	2021.98332340	0.99735235	2035.75897704	0.93203604	2048.29725562	0.91758188	2096.89827930	1.01155818	2111.12853542	0.94618694	2125.36545406	1.00965829	2177.54101846	0.99980595	2191.83288752	1.00015712	2206.02191456	1.02578422	2264.60399352	0.98341716	2279.99314205	0.99775641	2294.58224401	0.98646452	2358.89425577	1.04876606	2374.90317709	0.98927570	2390.08520112	0.98839048	2461.27436348	0.99491065	2478.00792965	1.03711069
1952.24083949	0.88142472	1964.87922916	1.06226961	1978.08896993	0.96720571	2021.98973940	0.99789009	2035.76508804	0.92926672	2048.30304362	0.91089293	2096.90492829	1.01140338	2111.13485243	0.94706998	2125.37139806	1.00247858	2177.54791746	1.00394876	2191.83940852	0.99925820	2206.02813556	1.02364369	2264.61116452	0.98820682	2279.99997205	0.99653389	2294.58871301	0.99094731	2358.90171777	1.03728215	2374.91028608	0.98363092	2390.09193212	0.97329326	2461.28214148	0.98534969	2478.01533865	1.04682562
1952.24703749	0.90927375	1964.88513216	1.06412106	1978.09450393	0.95392445	2021.99615440	1.00211429	2035.77119804	0.93428210	2048.30883062	0.89010618	2096.91157630	1.01463039	2111.14116943	0.95019053	2125.37734206	1.00643192	2177.55481546	1.00111270	2191.84592952	1.00148491	2206.03435656	1.01622499	2264.61833452	0.98900346	2280.00680105	0.99714564	2294.59518301	0.99467457	2358.90917977	1.02476560	2374.91739409	0.98710340	2390.09866312	0.97788177	2461.28991848	0.98266594	2478.02274865	1.02716236
1952.25323549	0.96407773	1964.89103516	1.04818239	1978.10003793	0.95334928	2022.00257040	1.01035915	2035.77730904	0.92930695	2048.31461762	0.88048822	2096.91822529	1.01167805	2111.14748642	0.95739218	2125.38328606	1.00299343	2177.56171346	1.00199431	2191.85245052	1.00585337	2206.04057756	1.01112580	2264.62550552	0.98399145	2280.01363005	0.98821862	2294.60165201	0.99962254	2358.91664177	1.01224906	2374.92450208	0.96613423	2390.10539412	0.97091863	2461.29769648	0.99649681	2478.03015765	1.01942371
1952.25943349	0.97670012	1964.89693816	1.05584650	1978.10557193	0.95236215	2022.00898640	1.01798515	2035.78341904	0.93552147	2048.32040462	0.85210759	2096.92487329	1.00602449	2111.15380242	0.96328430	2125.38922906	1.00196687	2177.56861146	0.99501214	2191.85897052	1.00193334	2206.04679756	1.00569516	2264.63267552	0.98578243	2280.02045905	0.98857328	2294.60812101	1.00273828	2358.92410377	1.01549529	2374.93161009	0.94806241	2390.11212512	0.94943725	2461.30547348	0.99120316	2478.03756665	1.03026537
1952.26563149	0.99854628	1964.90284116	1.05898101	1978.11110593	0.95704893	2022.01540140	1.04105409	2035.78952904	0.93160036	2048.32619162	0.80797820	2096.93152130	1.00897606	2111.16011943	0.96299342	2125.39517206	1.00669610	2177.57550946	0.99874129	2191.86549152	1.00183878	2206.05301856	1.00360991	2264.63984552	0.98719700	2280.02728805	0.98526134	2294.61458901	1.00869584	2358.93156577	1.04412092	2374.93871808	0.94723078	2390.11885512	0.94665676	2461.31325048	0.98773152	2478.04497565	1.02119910
1952.27182849	1.00071135	1964.90874416	1.04864521	1978.11663993	0.94155089	2022.02181640	1.04074906	2035.79563904	0.92968309	2048.33197862	0.78892216	2096.93816930	1.00540199	2111.16643543	0.96248777	2125.40111606	1.00779675	2177.58240746	0.99945597	2191.87201152	1.00492889	2206.05923856	1.00818164	2264.64701552	0.98506126	2280.03411705	0.99611239	2294.62105801	0.99707320	2358.93902677	1.07058809	2374.94582609	0.96043670	2390.12558512	0.92423957	2461.32102748	0.99020090	2478.05238465	1.01312448
1952.27802649	1.01533636	1964.91464716	1.04896958	1978.12217293	0.95772363	2022.02823240	1.04346371	2035.80174904	0.93383769	2048.33776462	0.77548832	2096.94481730	1.00806835	2111.17275143	0.97411330	2125.40705906	1.00062464	2177.58930546	0.99932768	2191.87853152	1.00822210	2206.06545856	1.00052143	2264.65418452	0.99595025	2280.04094505	0.98426669	2294.62752601	1.01157248	2358.94648777	1.08917774	2374.95293408	0.96500316	2390.13231512	0.88982160	2461.32880448	0.98205426	2478.05979265	1.04758415
1952.28422349	1.01919541	1964.92054916	1.05596116	1978.12770593	0.93966515	2022.03464740	1.03695440	2035.80785904	0.94125121	2048.34355062	0.79707031	2096.95146530	1.00347931	2111.17906743	0.97551719	2125.41300206	0.99202594	2177.59620246	0.99768399	2191.88505152	1.00214006	2206.07167856	1.00886548	2264.66135452	0.98924433	2280.04777405	0.98035276	2294.63399501	1.01029436	2358.95394877	1.09656715	2374.96004108	0.98716934	2390.13904512	0.86698043	2461.33658148	0.99983545	2478.06720165	1.01592902
1952.29042049	1.02168866	1964.92645116	1.04931477	1978.13323893	0.94084752	2022.04106140	1.03279397	2035.81396804	0.93449895	2048.34933762	0.83384427	2096.95811229	1.00070377	2111.18538343	0.97460152	2125.41894406	0.99485794	2177.60309946	0.99799314	2191.89157152	1.00138412	2206.07789856	1.01066066	2264.66852352	0.98883473	2280.05460205	0.97056847	2294.64046301	1.00717045	2358.96140977	1.09791703	2374.96714809	0.99127611	2390.14577512	0.85692852	2461.34435748	0.97599265	2478.07460965	1.01515302
