freqO0C1	fluxO0C1	freqO0C2	fluxO0C2	freqO0C3	fluxO0C3	freqO1C1	fluxO1C1	freqO1C2	fluxO1C2	freqO1C3	fluxO1C3	freqO2C1	fluxO2C1	freqO2C2	fluxO2C2	freqO2C3	fluxO2C3	freqO3C1	fluxO3C1	freqO3C2	fluxO3C2	freqO3C3	fluxO3C3	freqO4C1	fluxO4C1	freqO4C2	fluxO4C2	freqO4C3	fluxO4C3	freqO5C1	fluxO5C1	freqO5C2	fluxO5C2	freqO5C3	fluxO5C3	freqO6C1	fluxO6C1	freqO6C2	fluxO6C2
1945.90517103		1958.70605305		1972.43394320		2015.44039679		2029.52427913		2042.89667878		2090.09633054		2104.69515028		2118.21860020		2170.47370471		2185.34879272		2198.85155220		2257.29593008		2273.03080592		2287.72245078		2351.28478820		2367.64793841		2383.06097801		2453.41382351		2469.78433731	
1945.91150103		1958.71209706		1972.43968321		2015.44694979		2029.53053513		2042.90261979		2090.10312155		2104.70163428		2118.22475821		2170.48075072		2185.35552073		2198.85794321		2257.30325109		2273.03779893		2287.72909079		2351.29240521		2367.65521541		2383.06788601		2453.42176451		2469.79192231	
1945.91783105		1958.71814006		1972.44542321		2015.45350180		2029.53679114		2042.90856179		2090.10991055		2104.70811729		2118.23091521		2170.48779572		2185.36224974		2198.86433321		2257.31057209		2273.04479193		2287.73573080		2351.30002321		2367.66249242		2383.07479502		2453.42970553		2469.79950732	
1945.92416005		1958.72418307		1972.45116322		2015.46005480		2029.54304615		2042.91450280		2090.11670056		2104.71460129		2118.23707222		2170.49484173		2185.36897774		2198.87072322		2257.31789310		2273.05178394		2287.74237080		2351.30764022		2367.66976842		2383.08170303		2453.43764653		2469.80709133	
1945.93049006		1958.73022607		1972.45690322		2015.46660681		2029.54930114		2042.92044280		2090.12349056		2104.72108430		2118.24322922		2170.50188673		2185.37570575		2198.87711223		2257.32521311		2273.05877695		2287.74901081		2351.31525723		2367.67704543		2383.08861203		2453.44558753		2469.81467533	
1945.93682006	1.12796064	1958.73626908		1972.46264223	0.92512617	2015.47315881	0.98054059	2029.55555615	0.95766181	2042.92638381		2090.13028057		2104.72756730		2118.24938623		2170.50893174		2185.38243375		2198.88350223		2257.33253411		2273.06576895		2287.75564981		2351.32287423		2367.68432144		2383.09552004		2453.45352855		2469.82226034	
1945.94314907	1.18050345	1958.74231208		1972.46838223	0.84419825	2015.47971082	1.00715802	2029.56181115	0.93463518	2042.93232481	0.98761417	2090.13706958		2104.73405031		2118.25554323		2170.51597774		2185.38916076		2198.88989124		2257.33985512		2273.07276096		2287.76228882		2351.33049124		2367.69159744		2383.10242804		2453.46146955		2469.82984435	
1945.94947808	1.18158735	1958.74835509		1972.47412124	0.92346779	2015.48626182	0.97609111	2029.56806616	0.96871034	2042.93826482	1.02118585	2090.14385858		2104.74053331	0.99112113	2118.26170024		2170.52302275		2185.39588876		2198.89628024		2257.34717512	0.99220847	2273.07975396		2287.76892882		2351.33810724		2367.69887345		2383.10933505		2453.46940955		2469.83742735	
1945.95580707	1.09300254	1958.75439709		1972.47986024	0.86045914	2015.49281383	0.97380467	2029.57432116	0.97539323	2042.94420482	0.98864058	2090.15064759		2104.74701632	0.97865132	2118.26785624		2170.53006676		2185.40261577		2198.90266925		2257.35449513	0.97409698	2273.08674497	1.00338942	2287.77556783		2351.34572425		2367.70614945		2383.11624305		2453.47735056	1.12708981	2469.84501136	
1945.96213608	1.15231449	1958.76044010		1972.48559925	0.98504806	2015.49936483	0.99681855	2029.58057518	0.98766072	2042.95014483	0.98345525	2090.15743659	1.04139382	2104.75349832	1.00463302	2118.27401325		2170.53711176		2185.40934377		2198.90905825		2257.36181514	0.98726159	2273.09373698	0.98446168	2287.78220683		2351.35334026		2367.71342446		2383.12315006		2453.48529058	0.98036256	2469.85259436	
1945.96846509	1.09284405	1958.76648210		1972.49133825	0.94918154	2015.50591684	0.98728142	2029.58682917	0.97440794	2042.95608483	0.98160635	2090.16422560	1.04353272	2104.75998133	0.96999059	2118.28016925		2170.54415677	0.98454572	2185.41607078		2198.91544726		2257.36913514	0.95273108	2273.10072898	1.00827691	2287.78884484		2351.36095726	1.03446955	2367.72070047		2383.13005807		2453.49323058	1.01805962	2469.86017837	
1945.97479410	1.14809043	1958.77252411		1972.49707725	0.94813328	2015.51246785	1.00051922	2029.59308418	0.98596069	2042.96202484	1.01465182	2090.17101460	1.04946131	2104.76646334	1.00014259	2118.28632526		2170.55120077	1.00866253	2185.42279779		2198.92183626		2257.37645515	0.97074384	2273.10771999	0.99053091	2287.79548385		2351.36857327	0.97919203	2367.72797547		2383.13696507		2453.50117059	0.98306607	2469.86776138	
1945.98112309	1.14039518	1958.77856611		1972.50281626	0.98887304	2015.51901885	1.00746389	2029.59933819	0.96692986	2042.96796484	1.01482901	2090.17780361	1.03491647	2104.77294534	0.99939792	2118.29248027		2170.55824478	0.99827303	2185.42952479		2198.92822427		2257.38377415	1.00192268	2273.11471199	0.98320101	2287.80212185		2351.37618928	1.00015958	2367.73525048	1.01728992	2383.14387208		2453.50911060	0.91000416	2469.87534438	
1945.98745111	1.14262847	1958.78460812		1972.50855426	1.01812615	2015.52556986	0.98736487	2029.60559219	0.97145408	2042.97390385	0.99187391	2090.18459162	1.04405529	2104.77942735	1.02197398	2118.29863627		2170.56528979	0.95093880	2185.43625080		2198.93461227		2257.39109416	1.00524852	2273.12170300	0.97061857	2287.80876086		2351.38380428	0.98404407	2367.74252548	1.06561397	2383.15077808		2453.51704960	0.97030154	2469.88292639	
