freqO0C1	fluxO0C1	freqO0C2	fluxO0C2	freqO0C3	fluxO0C3	freqO1C1	fluxO1C1	freqO1C2	fluxO1C2	freqO1C3	fluxO1C3	freqO2C1	fluxO2C1	freqO2C2	fluxO2C2	freqO2C3	fluxO2C3	freqO3C1	fluxO3C1	freqO3C2	fluxO3C2	freqO3C3	fluxO3C3	freqO4C1	fluxO4C1	freqO4C2	fluxO4C2	freqO4C3	fluxO4C3	freqO5C1	fluxO5C1	freqO5C2	fluxO5C2	freqO5C3	fluxO5C3	freqO6C1	fluxO6C1	freqO6C2	fluxO6C2
1945.06378690		1959.51059436		1972.43909719		2015.44144802		2029.52483605		2042.89773123		2090.10770210		2104.70104218		2118.05637511		2170.48272505		2184.60018729		2200.00854214		2257.29020776		2273.02899660		2287.43956173		2351.28877085		2367.65565453		2383.22015656		2453.41654835		2470.43692403	
1945.07011690		1959.51663736		1972.44483719		2015.44800002		2029.53109206		2042.90367224		2090.11449211		2104.70752619		2118.06253211		2170.48977105		2184.60691630		2200.01493214		2257.29752876		2273.03598961		2287.44620173		2351.29638786		2367.66293154		2383.22706557		2453.42449035		2470.44450905	
1945.07644691		1959.52268137		1972.45057720		2015.45455303		2029.53734706		2042.90961324		2090.12128211		2104.71400919		2118.06869012		2170.49681706		2184.61364430		2200.02132215		2257.30484977		2273.04298261		2287.45284174		2351.30400587		2367.67020754		2383.23397457		2453.43243136		2470.45209404	
1945.08277691		1959.52872437		1972.45631720		2015.46110503		2029.54360307		2042.91555425		2090.12807212		2104.72049320		2118.07484712		2170.50386206		2184.62037231		2200.02771215		2257.31217077		2273.04997462		2287.45948175		2351.31162287		2367.67748455		2383.24088258		2453.44037237		2470.45967805	
1945.08910592		1959.53476738		1972.46205721	0.97528681	2015.46765704		2029.54985807		2042.92149525		2090.13486212		2104.72697621		2118.08100413		2170.51090807		2184.62710031		2200.03410116		2257.31949178		2273.05696762		2287.46612175		2351.31923988		2367.68476056		2383.24779058		2453.44831337		2470.46726206	
1945.09543592		1959.54081038		1972.46779621	0.97818576	2015.47420904	0.99922892	2029.55611308	1.00346486	2042.92743526		2090.14165113		2104.73345922		2118.08716113		2170.51795308		2184.63382832		2200.04049117		2257.32681279		2273.06395963		2287.47276176		2351.32685688		2367.69203756		2383.25469959		2453.45625438		2470.47484707	
1945.10176493		1959.54685339	1.04097377	1972.47353622	0.97967497	2015.48076105	0.99373677	2029.56236808	0.99353742	2042.93337626	0.97854423	2090.14844114		2104.73994221	0.98695016	2118.09331814		2170.52499808		2184.64055632		2200.04688017		2257.33413279		2273.07095164		2287.47940076		2351.33447389		2367.69931357		2383.26160660		2453.46419539		2470.48243108	
1945.10809393		1959.55289639	1.07570391	1972.47927522	0.96325680	2015.48731305	0.97772975	2029.56862209	0.97923823	2042.93931627	0.99008890	2090.15523014	1.00992792	2104.74642522	0.96860940	2118.09947414		2170.53204309		2184.64728333		2200.05326918		2257.34145280		2273.07794364		2287.48603977		2351.34208990		2367.70658957		2383.26851460		2453.47213539	0.48936843	2470.49001409	
1945.11442394		1959.55893840	1.08938417	1972.48501422	0.95754722	2015.49386406	0.98438125	2029.57487709	1.00726087	2042.94525727	0.97283121	2090.16201915	0.99133755	2104.75290823	1.00691437	2118.10563115		2170.53908809		2184.65401133		2200.05965918		2257.34877381	0.96493826	2273.08493565	0.98609314	2287.49267877		2351.34970690		2367.71386558		2383.27542261		2453.48007540	1.05554188	2470.49759809	
1945.12075295		1959.56498140	1.05078725	1972.49075323	0.98939277	2015.50041607	0.97624089	2029.58113210	0.99423114	2042.95119728	0.96513467	2090.16880815	1.02603943	2104.75939023	0.99336160	2118.11178715		2170.54613210	1.00809102	2184.66073834		2200.06604719		2257.35609381	0.99789558	2273.09192765	0.99683064	2287.49931778		2351.35732291	1.02418195	2367.72114059		2383.28232961		2453.48801641	0.94894069	2470.50518110	
