freqO0C1	fluxO0C1	freqO0C2	fluxO0C2	freqO0C3	fluxO0C3	freqO1C1	fluxO1C1	freqO1C2	fluxO1C2	freqO1C3	fluxO1C3	freqO2C1	fluxO2C1	freqO2C2	fluxO2C2	freqO2C3	fluxO2C3	freqO3C1	fluxO3C1	freqO3C2	fluxO3C2	freqO3C3	fluxO3C3	freqO4C1	fluxO4C1	freqO4C2	fluxO4C2	freqO4C3	fluxO4C3	freqO5C1	fluxO5C1	freqO5C2	fluxO5C2	freqO5C3	fluxO5C3	freqO6C1	fluxO6C1	freqO6C2	fluxO6C2
1945.91261802		1959.51410364		1972.43363056		2015.44209573		2029.52318337		2043.39247920	1.12927011	2090.10086677		2104.69169423		2116.80378534		2170.46274937		2184.91707301		2199.98148350		2257.26385440		2272.98606743		2287.94125960		2351.24072496		2367.61068332		2383.15974078		2453.35933113		2471.61331127	1.91203528
1945.91894602		1959.52014564		1972.43936957		2015.44864673		2029.52943737		2043.39841920	1.12975173	2090.10765477		2104.69817624		2116.80994135		2170.46979338		2184.92379902		2199.98787150		2257.27117341		2272.99305743		2287.94789760		2351.24834097		2367.61795733		2383.16664679		2453.36727014		2471.62089428	1.91379681
1945.92527503		1959.52618765		1972.44510757		2015.45519674		2029.53569138		2043.40435921	1.13018174	2090.11444278		2104.70465824		2116.81609635		2170.47683738		2184.93052603		2199.99426051		2257.27849242		2273.00004844		2287.95453561		2351.25595598		2367.62523234		2383.17355379		2453.37520914		2471.62847629	1.91553017
1945.93160303		1959.53222965		1972.45084658		2015.46174774		2029.54194439		2043.41029821	1.13067375	2090.12123078		2104.71114025		2116.82225136		2170.48388139		2184.93725203		2200.00064851		2257.28581042		2273.00703844		2287.96117361		2351.26357098		2367.63250634		2383.18045980		2453.38314815		2471.63605929	1.91723535
1945.93793104	1.16150645	1959.53827066		1972.45658458		2015.46829875		2029.54819839		2043.41623822	0.92478273	2090.12801879		2104.71762125		2116.82840636		2170.49092439		2184.94397804		2200.00703652		2257.29312943		2273.01402845		2287.96781162		2351.27118599		2367.63978035		2383.18736680		2453.39108716		2471.64364130	1.91891340
1945.94425904	1.15712969	1959.54431266	1.07139782	1972.46232259	0.95427162	2015.47484875	0.96482886	2029.55445140		2043.42217722	1.03642285	2090.13480579		2104.72410226		2116.83456137		2170.49796840		2184.95070304		2200.01342452		2257.30044744		2273.02101845		2287.97444862		2351.27879999		2367.64705435		2383.19427281		2453.39902516		2471.65122330	1.92056327
1945.95058705	1.24097413	1959.55035367	1.06103307	1972.46806059	0.98211951	2015.48139876	0.95759937	2029.56070540	0.98458444	2043.42811622	0.96042605	2090.14159380		2104.73058427		2116.84071637		2170.50501141		2184.95742905		2200.01981153		2257.30776544		2273.02800846		2287.98108663		2351.28641500		2367.65432836		2383.20117882		2453.40696317		2471.65880531	1.92218705
1945.95691405	1.20765230	1959.55639467	1.09993757	1972.47379860	0.96171030	2015.48794877	1.01046351	2029.56695841	0.98125248	2043.43405623	1.00133924	2090.14838081		2104.73706527		2116.84687038		2170.51205441		2184.96415405		2200.02619953		2257.31508345		2273.03499747		2287.98772364		2351.29402901		2367.66160237		2383.20808382		2453.41490218		2471.66638732	0.66034484
1945.96324206	1.17683763	1959.56243668	1.05883829	1972.47953560	0.97611709	2015.49449877	0.97937562	2029.57321141	1.00092372	2043.43999423	0.97865948	2090.15516781	1.04614361	2104.74354628	1.02451059	2116.85302438		2170.51909842		2184.97088006		2200.03258654		2257.32240145		2273.04198747		2287.99436064		2351.30164401		2367.66887537		2383.21498983		2453.42284018		2471.67396932	1.04712212
1945.96956906	1.16065742	1959.56847768	1.04072891	1972.48527360	0.96469079	2015.50104878	0.97323524	2029.57946442	0.98791209	2043.44593324	1.00007943	2090.16195482	1.03571067	2104.75002628	1.01676116	2116.85917939		2170.52614042		2184.97760506		2200.03897354		2257.32971946		2273.04897648		2288.00099765		2351.30925802		2367.67614938		2383.22189483		2453.43077719		2471.68155033	1.18734340
