freqO0C1	fluxO0C1	freqO0C2	fluxO0C2	freqO0C3	fluxO0C3	freqO1C1	fluxO1C1	freqO1C2	fluxO1C2	freqO1C3	fluxO1C3	freqO2C1	fluxO2C1	freqO2C2	fluxO2C2	freqO2C3	fluxO2C3	freqO3C1	fluxO3C1	freqO3C2	fluxO3C2	freqO3C3	fluxO3C3	freqO4C1	fluxO4C1	freqO4C2	fluxO4C2	freqO4C3	fluxO4C3	freqO5C1	fluxO5C1	freqO5C2	fluxO5C2	freqO5C3	fluxO5C3	freqO6C1	fluxO6C1	freqO6C2	fluxO6C2
1945.90699458		1959.51090832		1972.24196923		2015.44198777		2029.52807107		2042.89953456		2090.11193712		2104.67742541		2118.33265406		2170.47439047		2185.58354323		2199.68401690		2257.29331807		2273.02422516		2287.97068758		2351.28491323		2367.65444597		2383.22520365		2453.40866079		2470.46714416	
1945.91332458		1959.51695132		1972.24770924		2015.44854077		2029.53432608		2042.90547557		2090.11872712		2104.68390942		2118.33881106		2170.48143648		2185.59027224		2199.69040690		2257.30064008		2273.03121816		2287.97732859		2351.29253124		2367.66172298		2383.23211265		2453.41660180		2470.47472916	
1945.91965459		1959.52299533		1972.25344924		2015.45509278		2029.54058209		2042.91141657		2090.12551713		2104.69039242		2118.34496907		2170.48848148		2185.59700024		2199.69679691		2257.30796108		2273.03821017		2287.98396859		2351.30014823		2367.66899998		2383.23902166		2453.42454280		2470.48231417	
1945.92598359		1959.52903833		1972.25918925		2015.46164578		2029.54683710		2042.91735758		2090.13230713		2104.69687643		2118.35112607		2170.49552749		2185.60372825		2199.70318691		2257.31528109		2273.04520317		2287.99060860		2351.30776525		2367.67627699		2383.24592966		2453.43248381		2470.48989818	
1945.93231360		1959.53508134		1972.26492925		2015.46819779		2029.55309210		2042.92329858		2090.13909614		2104.70335943		2118.35728308		2170.50257249		2185.61045625		2199.70957592		2257.32260209		2273.05219618		2287.99724760		2351.31538225		2367.68355299		2383.25283767		2453.44042482		2470.49748218	
1945.93864361	1.07505541	1959.54112434		1972.27066926		2015.47474979	0.97871626	2029.55934711	1.00316473	2042.92923959		2090.14588614		2104.70984244		2118.36344008		2170.50961750		2185.61718426		2199.71596592		2257.32992310		2273.05918819		2288.00388761		2351.32299926		2367.69082900		2383.25974567		2453.44836582		2470.50506619	
1945.94497261	1.11182710	1959.54716735	1.11017661	1972.27640826		2015.48130180	1.00354556	2029.56560211	0.99475908	2042.93517959	0.99410427	2090.15267515	0.99786626	2104.71632544		2118.36959709		2170.51666351		2185.62391226		2199.72235493		2257.33724311		2273.06618019		2288.01052661		2351.33061626		2367.69810501		2383.26665368		2453.45630683		2470.51265019	
1945.95130161	1.08045568	1959.55320935	1.08270469	1972.28214827		2015.48785281	1.00859023	2029.57185712	1.00251705	2042.94112060	1.01173303	2090.15946515	1.02197221	2104.72280845		2118.37575309		2170.52370851		2185.63063927		2199.72874394		2257.34456411		2273.07317220		2288.01716562		2351.33823327		2367.70538101		2383.27356169		2453.46424684		2470.52023420	
1945.95763061	1.10825458	1959.55925236	1.12232597	1972.28788727		2015.49440481	0.97968117	2029.57811213	0.98051414	2042.94706060	1.02346251	2090.16625416	1.00377501	2104.72929145		2118.38191010		2170.53075252		2185.63736727		2199.73513394		2257.35188412	0.95460392	2273.08016420		2288.02380463		2351.34584927		2367.71265702		2383.28046969		2453.47218784	0.88861223	2470.52781821	
1945.96395962	1.14743389	1959.56529436	1.12606366	1972.29362628		2015.50095582	0.97348084	2029.58436612	0.96090644	2042.95300061	1.01738343	2090.17304317	0.98840311	2104.73577346		2118.38806610		2170.53779752		2185.64409428		2199.74152195		2257.35920412	1.01744663	2273.08715621	0.97945731	2288.03044363		2351.35346629		2367.71993303		2383.28737670		2453.48012785	1.01084005	2470.53540121	0.91790867
