freqO0C1	fluxO0C1	freqO0C2	fluxO0C2	freqO0C3	fluxO0C3	freqO1C1	fluxO1C1	freqO1C2	fluxO1C2	freqO1C3	fluxO1C3	freqO2C1	fluxO2C1	freqO2C2	fluxO2C2	freqO2C3	fluxO2C3	freqO3C1	fluxO3C1	freqO3C2	fluxO3C2	freqO3C3	fluxO3C3	freqO4C1	fluxO4C1	freqO4C2	fluxO4C2	freqO4C3	fluxO4C3	freqO5C1	fluxO5C1	freqO5C2	fluxO5C2	freqO5C3	fluxO5C3	freqO6C1	fluxO6C1	freqO6C2	fluxO6C2
1945.91457997		1959.51130371		1972.17126344		2015.44414181		2029.52354603		2042.89151218		2090.10152786		2104.68429492		2118.63791208	1.52609420	2170.38892783		2185.61908662		2199.67420624		2257.27015569		2272.98885606		2287.93258728		2351.24295793		2367.61156514		2383.15417368		2452.62950342		2469.99568403	
1945.92090897		1959.51734571		1972.17700145		2015.45069281		2029.52980003		2042.89745218		2090.10831586		2104.69077692		2118.64406709	1.52523233	2170.39597183		2185.62581262		2199.68059425		2257.27747470		2272.99584606		2287.93922629		2351.25057394		2367.61884015		2383.16108068		2452.63744243		2470.00326604	
1945.92723698		1959.52338772		1972.18274045		2015.45724382		2029.53605404		2042.90339219		2090.11510387		2104.69725893		2118.65022209	1.52426631	2170.40301584		2185.63253863		2199.68698325		2257.28479370		2273.00283707		2287.94586429		2351.25818895		2367.62611416		2383.16798769		2452.64538144		2470.01084904	
1945.93356498		1959.52942972		1972.18847846		2015.46379483		2029.54230705		2042.90933119		2090.12189187		2104.70373993		2118.65637710	1.52316716	2170.41005885		2185.63926464		2199.69337126		2257.29211271		2273.00982708		2287.95250130		2351.26580395		2367.63338916		2383.17489369		2452.65332044		2470.01843104	
1945.93989299	1.26402976	1959.53547173		1972.19421646		2015.47034483		2029.54856105		2042.91527120		2090.12867988		2104.71022194		2118.66253210		2170.41710285		2185.64599064		2199.69975926		2257.29943071		2273.01681708		2287.95913930		2351.27341896		2367.64066317		2383.18179970		2452.66125845		2470.02601406	
1945.94622099	1.34208783	1959.54151273		1972.19995447		2015.47689484	1.00403976	2029.55481406	1.00245540	2042.92121020		2090.13546788		2104.71670294		2118.66868711	0.98774794	2170.42414686		2185.65271665		2199.70614727		2257.30674872		2273.02380709		2287.96577731		2351.28103297		2367.64793718		2383.18870570		2452.66919746		2470.03359606	
1945.95254900	1.25663870	1959.54755374	1.05215453	1972.20569247		2015.48344584	0.99185578	2029.56106706	0.98133157	2042.92714921		2090.14225489		2104.72318395		2118.67484211	1.00876116	2170.43118986		2185.65944265		2199.71253427		2257.31406673		2273.03079709		2287.97241431		2351.28864797		2367.65521118		2383.19561171		2452.67713546		2470.04117806	
1945.95887700	1.24959463	1959.55359574	1.06574795	1972.21143048		2015.48999585	1.01017395	2029.56732107	0.96513987	2042.93308821	0.98978821	2090.14904190		2104.72966495		2118.68099612	0.98264708	2170.43823287		2185.66616766		2199.71892228		2257.32138573		2273.03778610		2287.97905132		2351.29626198		2367.66248419		2383.20251772		2452.68507347		2470.04876008	
1945.96520401	1.23095515	1959.55963675	1.05317800	1972.21716848		2015.49654585	0.96294520	2029.57357407	1.01783157	2042.93902722	1.00899591	2090.15582990	1.00364881	2104.73614596		2118.68715112	1.04279331	2170.44527588		2185.67289266		2199.72530928		2257.32870274		2273.04477610		2287.98568832		2351.30387599		2367.66975819		2383.20942372		2452.69301147		2470.05634107	
1945.97153201	1.19266614	1959.56567775	1.04639410	1972.22290549		2015.50309486	0.99271415	2029.57982608	0.95743937	2042.94496622	0.98839689	2090.16261691	1.01503727	2104.74262697	0.99067412	2118.69330513	1.03099364	2170.45231888		2185.67961867		2199.73169629		2257.33602074		2273.05176511		2287.99232533		2351.31149099		2367.67703120		2383.21632873		2452.70094948		2470.06392309	
