freqO0C1	fluxO0C1	freqO0C2	fluxO0C2	freqO0C3	fluxO0C3	freqO1C1	fluxO1C1	freqO1C2	fluxO1C2	freqO1C3	fluxO1C3	freqO2C1	fluxO2C1	freqO2C2	fluxO2C2	freqO2C3	fluxO2C3	freqO3C1	fluxO3C1	freqO3C2	fluxO3C2	freqO3C3	fluxO3C3	freqO4C1	fluxO4C1	freqO4C2	fluxO4C2	freqO4C3	fluxO4C3	freqO5C1	fluxO5C1	freqO5C2	fluxO5C2	freqO5C3	fluxO5C3	freqO6C1	fluxO6C1	freqO6C2	fluxO6C2
1946.81796013	1.56115103	1959.49331821		1972.42117592		2015.82975919	2.27757813	2029.51855919		2042.86543932		2090.09972745		2104.69483318		2117.25718816		2170.37734740		2183.98536402		2199.82208928		2257.25755005		2272.99605362		2287.94356772		2351.24050966		2367.60115744		2383.16057674		2453.30890963		2470.96701868	
1946.82428914	1.56067565	1959.49936022		1972.42691493		2015.83630921	2.27738744	2029.52481319		2042.87137932		2090.10651546		2104.70131518		2117.26334317		2170.38439141		2183.99209003		2199.82847829		2257.26486906		2273.00304463		2287.95020572		2351.24812567		2367.60843244		2383.16748375		2453.31684864		2470.97460169	
1946.83061714	1.56026570	1959.50540222		1972.43265293		2015.84286020	2.27717669	2029.53106720		2042.87731933		2090.11330347		2104.70779719		2117.26949817		2170.39143541		2183.99881703		2199.83486629		2257.27218806		2273.01003464		2287.95684373		2351.25574068		2367.61570645		2383.17439075		2453.32478764		2470.98218370	
1946.83694515	1.55986960	1959.51144423		1972.43839194		2015.84941121	2.27696372	2029.53732120		2042.88325833		2090.12009147		2104.71427919		2117.27565318		2170.39847942		2184.00554304		2199.84125430		2257.27950707		2273.01702464		2287.96348174		2351.26335568		2367.62298045		2383.18129676		2453.33272665		2470.98976670	
1946.84327315	0.93221870	1959.51748523		1972.44412994		2015.85596121	0.84072145	2029.54357421		2042.88919834		2090.12687848		2104.72076020		2117.28180818		2170.40552242		2184.01226905		2199.84764230		2257.28682507		2273.02401565		2287.97011874		2351.27097069		2367.63025546		2383.18820276		2453.34066466		2470.99734871	
1946.84960116	1.01550127	1959.52352724		1972.44986795		2015.86251123	1.01038919	2029.54982821		2042.89513734		2090.13366648		2104.72724120		2117.28796319		2170.41256643		2184.01899405		2199.85403031		2257.29414308		2273.03100465		2287.97675675		2351.27858469		2367.63752947		2383.19510877		2453.34860366		2471.00493072	
1946.85592916	0.99783915	1959.52956824		1972.45560595		2015.86906222	1.00006220	2029.55608122	0.95824466	2042.90107635		2090.14045449		2104.73372221		2117.29411819		2170.41960943		2184.02572005		2199.86041832		2257.30146209		2273.03799466		2287.98339375		2351.28619970		2367.64480347		2383.20201478		2453.35654167		2471.01251272	
1946.86225617	1.01390558	1959.53561025		1972.46134396	0.95555070	2015.87561224	0.98013643	2029.56233422	0.99585686	2042.90701535		2090.14724149		2104.74020421	0.98046010	2117.30027220		2170.42665244		2184.03244507		2199.86680532		2257.30878009		2273.04498466		2287.99003176		2351.29381371		2367.65207648		2383.20892078		2453.36447967		2471.02009473	1.27032212
1946.86858417	0.99952257	1959.54165125		1972.46708096	0.92910709	2015.88216224	0.99789934	2029.56858723	0.96658390	2042.91295436		2090.15402850	1.01787909	2104.74668422	0.98388113	2117.30642720		2170.43369545		2184.03917107		2199.87319333		2257.31609810		2273.05197367		2287.99666876		2351.30142871		2367.65935048		2383.21582679		2453.37241768		2471.02767673	
1946.87491118	1.00884979	1959.54769226	0.99914750	1972.47281896	0.95175991	2015.88871125	0.99891262	2029.57484023	0.99286218	2042.91889336		2090.16081551	1.01839661	2104.75316522	0.96473595	2117.31258121		2170.44073845		2184.04589607		2199.87958033		2257.32341510		2273.05896268		2288.00330577		2351.30904272		2367.66662349		2383.22273179		2453.38035569		2471.03525774	0.57329114
1946.88123918	0.99846823	1959.55373326	1.01664125	1972.47855597	0.99287242	2015.89526124	0.99573566	2029.58109324	0.99923464	2042.92483237		2090.16760251	1.02662115	2104.75964623	1.01438074	2117.31873521		2170.44778146		2184.05262108		2199.88596734		2257.33073311		2273.06595268		2288.00994177		2351.31665673		2367.67389650		2383.22963680		2453.38829369		2471.04283875	0.94449449
1946.88756619	0.99545999	1959.55977327	1.00422549	1972.48429297	0.94186333	2015.90181125	1.00221764	2029.58734524	1.00416819	2042.93077037	0.99400078	2090.17438952	1.00981776	2104.76612624	0.98628016	2117.32488922		2170.45482446		2184.05934608		2199.89235434		2257.33805012		2273.07294169		2288.01657878		2351.32427073		2367.68116950		2383.23654180		2453.39623070		2471.05041975	1.02709501
1946.89389319	0.98564317	1959.56581427	0.99859614	1972.49002998	0.96706313	2015.90836026	0.99449054	2029.59359825	0.97746143	2042.93670838	0.98998023	2090.18117652	1.02710022	2104.77260624	0.99831867	2117.33104222		2170.46186647		2184.06607009		2199.89874035		2257.34536812		2273.07992969		2288.02321479		2351.33188374		2367.68844251		2383.24344681		2453.40416871		2471.05800076	1.04560400
