freqO0C1	fluxO0C1	freqO0C2	fluxO0C2	freqO0C3	fluxO0C3	freqO1C1	fluxO1C1	freqO1C2	fluxO1C2	freqO1C3	fluxO1C3	freqO2C1	fluxO2C1	freqO2C2	fluxO2C2	freqO2C3	fluxO2C3	freqO3C1	fluxO3C1	freqO3C2	fluxO3C2	freqO3C3	fluxO3C3	freqO4C1	fluxO4C1	freqO4C2	fluxO4C2	freqO4C3	fluxO4C3	freqO5C1	fluxO5C1	freqO5C2	fluxO5C2	freqO5C3	fluxO5C3	freqO6C1	fluxO6C1	freqO6C2	fluxO6C2
1946.04959923	1.08260386	1959.63818722	1.00975176	1972.54634860	0.96158956	2015.57761236	0.99926707	2029.65550005	0.98815804	2043.01807323	0.98374104	2090.25707388	0.98376540	2104.83940953	0.99998180	2118.69311389	0.99838221	2170.64081876	1.00094909	2185.75869977	1.00114266	2200.14665796	0.94027070	2257.44922532	1.00763334	2273.17303364	0.99539360	2288.11571679	1.00104633	2351.43960277	1.00996213	2367.80052178	1.02491926	2383.35992601	1.01373494	2453.56632102	0.99449932	2470.61108167	0.99578363
1946.05592123	1.06155152	1959.64422322	1.01049322	1972.55208160	0.96327774	2015.58415636	0.99777088	2029.66174705	0.98551550	2043.02400623	0.99202849	2090.26385488	0.98716527	2104.84588453	0.99588901	2118.69924989	0.99834681	2170.64785476	0.99879139	2185.76540477	0.99967521	2200.15303896	0.94681372	2257.45653632	1.00078812	2273.18001664	0.99704892	2288.12234979	0.99967893	2351.44721677	1.01285417	2367.80779078	1.03209146	2383.36682702	1.02153615	2453.57425502	1.01450419	2470.61865767	1.02126539
1946.06224423	1.05226113	1959.65025922	1.01155855	1972.55781460	0.96398440	2015.59070136	0.99710816	2029.66799505	0.98644310	2043.02994023	0.98341936	2090.27063588	0.99374652	2104.85235953	0.99452057	2118.70538589	1.00194904	2170.65489076	0.99682148	2185.77210977	0.99829295	2200.15941996	0.95613020	2257.46384732	1.00142953	2273.18699864	0.99735410	2288.12898179	1.00728179	2351.45482976	0.99896757	2367.81505978	1.03571888	2383.37372701	1.00863567	2453.58218802	1.01600831	2470.62623467	1.00554183
1946.06856623	1.03953795	1959.65629522	1.00077063	1972.56354660	0.97101089	2015.59724536	1.00270323	2029.67424305	0.98643995	2043.03587323	0.99190591	2090.27741688	0.98684137	2104.85883453	0.99018176	2118.71152189	0.99903963	2170.66192676	0.99835376	2185.77881477	0.99724310	2200.16580096	0.96725117	2257.47115832	1.01116771	2273.19398164	0.99274196	2288.13561479	0.99524698	2351.46244277	1.00708227	2367.82232878	1.03589448	2383.38062802	1.01197672	2453.59012102	1.00808703	2470.63381067	1.01555420
1946.07488723	1.03617448	1959.66233122	1.00071918	1972.56927960	0.97228825	2015.60378936	0.99918978	2029.68049005	0.98816555	2043.04180723	0.99519040	2090.28419788	0.98456745	2104.86530853	0.99298091	2118.71765789	0.99896433	2170.66896276	1.00057283	2185.78551877	1.00097760	2200.17218196	0.98049578	2257.47846832	1.00160737	2273.20096364	0.98948034	2288.14224679	0.99719614	2351.47005576	1.00244845	2367.82959778	1.02904432	2383.38752901	1.01762764	2453.59805402	1.01482889	2470.64138567	0.99399815
1946.08120923	1.02018891	1959.66836722	0.99916289	1972.57501160	0.97094943	2015.61033336	1.01502318	2029.68673705	0.98531195	2043.04774023	0.99731638	2090.29097788	0.99095041	2104.87178353	0.98802044	2118.72379389	1.00209794	2170.67599776	0.99702716	2185.79222277	1.00257425	2200.17856296	0.99376189	2257.48577932	1.01338157	2273.20794564	0.99346249	2288.14887879	1.00499261	2351.47766877	0.99288494	2367.83686678	1.03399373	2383.39442901	1.00479687	2453.60598702	1.00841657	2470.64896167	1.00618611
1946.08753123	1.01663827	1959.67440322	1.02006365	1972.58074360	0.96843557	2015.61687736	1.00800774	2029.69298405	0.98521535	2043.05367323	0.99293308	2090.29775888	0.99068483	2104.87825753	0.99537585	2118.72992989	1.00238455	2170.68303376	0.99490776	2185.79892677	1.00072036	2200.18494296	1.00311759	2257.49308932	1.01134310	2273.21492764	0.99321626	2288.15551079	0.99738153	2351.48528176	1.00475104	2367.84413478	1.02636574	2383.40132902	0.98759010	2453.61392002	1.00200497	2470.65653767	0.99234724
1946.09385223	1.02633092	1959.68043822	1.00854955	1972.58647660	0.96645283	2015.62342136	1.00887416	2029.69923105	0.98536177	2043.05960623	1.00065860	2090.30453888	0.98689605	2104.88473153	0.99999847	2118.73606589	1.00185603	2170.69006876	0.99715709	2185.80563077	0.99588012	2200.19132396	1.01653778	2257.50039932	1.01097027	2273.22190864	0.99185861	2288.16214279	0.99814320	2351.49289377	0.99638648	2367.85140378	1.02611425	2383.40822901	0.98818075	2453.62185302	0.98768875	2470.66411267	1.01243547
1946.10017423	1.00898417	1959.68647422	0.99852217	1972.59220760	0.97009876	2015.62996536	1.01217926	2029.70547805	0.98167258	2043.06553823	0.98644317	2090.31131888	0.99481670	2104.89120553	0.99896997	2118.74220089	0.99352564	2170.69710376	0.99835997	2185.81233477	1.00373047	2200.19770396	1.02678138	2257.50770932	1.00870924	2273.22889064	0.99500625	2288.16877379	0.99340594	2351.50050676	0.99493461	2367.85867178	1.02748351	2383.41512901	0.97901800	2453.62978502	0.99741085	2470.67168767	1.00299420
1946.10649523	1.01964302	1959.69250922	1.00629399	1972.59793960	0.98061234	2015.63650836	1.00774639	2029.71172405	0.98883637	2043.07147123	0.99731430	2090.31809888	0.99020676	2104.89767953	1.00659680	2118.74833589	0.99964904	2170.70413876	0.99505297	2185.81903877	1.00184976	2200.20408396	1.02171370	2257.51501932	1.00456410	2273.23587164	0.99074702	2288.17540579	0.99109871	2351.50811876	0.99024502	2367.86593978	1.03251947	2383.42202902	0.97370754	2453.63771702	0.99764283	2470.67926267	1.01348838
