freqO0C1	fluxO0C1	freqO0C2	fluxO0C2	freqO0C3	fluxO0C3	freqO1C1	fluxO1C1	freqO1C2	fluxO1C2	freqO1C3	fluxO1C3	freqO2C1	fluxO2C1	freqO2C2	fluxO2C2	freqO2C3	fluxO2C3	freqO3C1	fluxO3C1	freqO3C2	fluxO3C2	freqO3C3	fluxO3C3	freqO4C1	fluxO4C1	freqO4C2	fluxO4C2	freqO4C3	fluxO4C3	freqO5C1	fluxO5C1	freqO5C2	fluxO5C2	freqO5C3	fluxO5C3	freqO6C1	fluxO6C1	freqO6C2	fluxO6C2
1955.19772086	0.99634390	1968.36757280	1.01910740	1980.81157155	1.03162715	2025.05393984	1.01036856	2038.69060271	0.99705404	2051.61807381	0.99501287	2100.07043180	1.00370108	2114.19451741	0.99391741	2127.54988776	0.99807063	2180.84158557	1.00664382	2195.47737399	1.00345606	2209.36329809	1.00002403	2268.03223218	1.00607367	2283.26158683	0.99726548	2297.67787935	1.01630988	2362.46268063	0.99093221	2378.30490250	0.98310923	2393.31355964	0.99211854	2465.10234224	1.00177933	2481.55044777	0.96647677
1955.20385486	0.99554046	1968.37340680	1.01734502	1980.81708955	1.03331722	2025.06028884	1.00606456	2038.69663971	0.99962478	2051.62378481	0.99646642	2100.07701080	1.00416266	2114.20077641	0.99802619	2127.55579376	0.99819716	2180.84841257	1.00617829	2195.48385299	1.00703355	2209.36944209	1.00145403	2268.03932818	1.00439523	2283.26833683	0.99636420	2297.68426535	1.01933451	2362.47006663	0.99376682	2378.31193050	0.97064349	2393.32020364	0.97519353	2465.11004024	1.00382038	2481.55777177	0.99854070
1955.20998786	0.99507758	1968.37924080	1.02122357	1980.82260755	1.03053139	2025.06663784	1.00508349	2038.70267571	1.00137620	2051.62949581	0.99280765	2100.08359080	1.00362636	2114.20703541	1.00323534	2127.56170076	1.00055736	2180.85523857	1.00109718	2195.49033099	0.99453664	2209.37558509	0.99740000	2268.04642318	1.00552172	2283.27508683	0.99319702	2297.69065135	1.00507524	2362.47745363	0.98702627	2378.31895650	0.97426398	2393.32684764	0.97518672	2465.11773724	1.01779703	2481.56509577	0.97614578
1955.21612186	0.99810629	1968.38507480	1.01389459	1980.82812655	1.02969536	2025.07298684	1.00398362	2038.70871171	0.99450553	2051.63520681	0.98406433	2100.09016980	1.00098749	2114.21329441	0.99742715	2127.56760576	0.99736855	2180.86206557	1.00450599	2195.49680899	1.00648959	2209.38172809	0.99947686	2268.05351818	1.00352850	2283.28183683	0.99271971	2297.69703735	1.02127229	2362.48483963	0.98270628	2378.32598350	0.96478013	2393.33349164	0.95765401	2465.12543324	1.01353982	2481.57241977	0.98504882
1955.22225486	1.00709885	1968.39090880	1.00994952	1980.83364455	1.02242676	2025.07933584	1.00526449	2038.71474771	1.00104613	2051.64091781	0.98364717	2100.09674880	1.00491363	2114.21955341	1.00269287	2127.57351176	0.99671783	2180.86889157	1.00039413	2195.50328699	1.00426726	2209.38787109	1.00862402	2268.06061318	1.00699332	2283.28858583	1.00058760	2297.70342235	1.02464119	2362.49222463	0.99343232	2378.33301050	0.97670335	2393.34013564	0.95423726	2465.13313024	1.00612650	2481.57974277	0.98324421
1955.22838786	1.01713420	1968.39674180	1.01103289	1980.83916255	1.02418956	2025.08568484	1.00223153	2038.72078371	1.00311065	2051.64662781	0.97823430	2100.10332780	1.00014761	2114.22581241	1.00107619	2127.57941776	0.99558663	2180.87571757	0.99899844	2195.50976499	1.00077107	2209.39401409	1.00644763	2268.06770718	1.00779544	2283.29533583	0.99832042	2297.70980835	1.00984395	2362.49961063	0.98764784	2378.34003650	0.96398982	2393.34677864	0.97766743	2465.14082724	1.00750484	2481.58706677	0.99730250
1955.23452086	1.01918580	1968.40257580	1.00242022	1980.84467955	1.02399920	2025.09203284	1.00674875	2038.72681971	1.00171825	2051.65233781	0.97998255	2100.10990680	1.00317731	2114.23207041	1.00390831	2127.58532276	1.00300941	2180.88254357	1.00099788	2195.51624299	0.99686001	2209.40015609	0.99777150	2268.07480218	1.00668211	2283.30208483	0.99495645	2297.71619335	1.01113155	2362.50699663	0.98695376	2378.34706350	0.97413047	2393.35342164	0.97133115	2465.14852324	1.00065930	2481.59438977	0.99541606
1955.24065386	1.02019703	1968.40840880	1.00390258	1980.85019755	1.01348500	2025.09838184	1.00720483	2038.73285571	0.99819258	2051.65804781	0.99019749	2100.11648480	1.00571400	2114.23832841	0.99817430	2127.59122876	0.99703921	2180.88936957	1.00220933	2195.52271999	1.00075368	2209.40629909	0.99942751	2268.08189618	0.99840510	2283.30883383	1.00002955	2297.72257835	1.01226145	2362.51438163	0.98064886	2378.35408950	0.96841434	2393.36006464	0.98373613	2465.15621924	1.01337277	2481.60171277	1.00385925
1955.24678586	1.01073895	1968.41424180	1.00233445	1980.85571455	1.02372848	2025.10472984	1.00666547	2038.73889071	0.99890974	2051.66375781	0.98883138	2100.12306380	1.00105720	2114.24458741	0.99936033	2127.59713376	0.99734868	2180.89619457	1.00542674	2195.52919699	1.00448724	2209.41244109	1.00523487	2268.08899118	0.99999282	2283.31558283	0.99298521	2297.72896335	1.01037263	2362.52176663	0.98430083	2378.36111550	0.96569113	2393.36670764	0.98577104	2465.16391524	1.00856760	2481.60903577	1.00788641
1955.25291886	1.01259051	1968.42007480	0.99924230	1980.86123255	1.02234463	2025.11107784	1.00057105	2038.74492571	0.99563413	2051.66946781	0.99736116	2100.12964180	1.00180877	2114.25084541	1.00121699	2127.60303876	0.99505017	2180.90302057	1.00251259	2195.53567499	0.99714145	2209.41858309	1.00216285	2268.09608518	1.00469910	2283.32233183	0.99439887	2297.73534835	1.00089047	2362.52915163	0.98763494	2378.36814050	0.97274851	2393.37334964	0.99665825	2465.17161124	1.00444671	2481.61635777	1.00636842
1955.25905086	1.00611168	1968.42590780	1.00130990	1980.86674955	1.03096222	2025.11742584	1.00000627	2038.75096171	0.99606405	2051.67517781	1.00045896	2100.13621980	1.00744649	2114.25710341	1.00016419	2127.60894376	0.99359256	2180.90984557	1.00009991	2195.54215199	0.99712984	2209.42472509	1.00099278	2268.10317918	1.00188167	2283.32907983	0.99055469	2297.74173235	1.00732750	2362.53653663	0.98257087	2378.37516650	0.96952274	2393.37999264	0.99701304	2465.17930724	1.01106273	2481.62368077	1.01907438
