freqO0C1	fluxO0C1	freqO0C2	fluxO0C2	freqO0C3	fluxO0C3	freqO1C1	fluxO1C1	freqO1C2	fluxO1C2	freqO1C3	fluxO1C3	freqO2C1	fluxO2C1	freqO2C2	fluxO2C2	freqO2C3	fluxO2C3	freqO3C1	fluxO3C1	freqO3C2	fluxO3C2	freqO3C3	fluxO3C3	freqO4C1	fluxO4C1	freqO4C2	fluxO4C2	freqO4C3	fluxO4C3	freqO5C1	fluxO5C1	freqO5C2	fluxO5C2	freqO5C3	fluxO5C3	freqO6C1	fluxO6C1	freqO6C2	fluxO6C2
1945.92130586		1959.51618244		1972.43011483		2015.45157684		2029.53394723		2042.94644781	0.94083614	2090.11994080		2104.70460356		2118.58045828		2170.51710657		2185.65753640		2200.02707220		2257.30204618		2273.03355283		2287.98100035		2351.29301763		2367.65712750		2383.21746564		2453.46200224		2470.45391599	
1945.92763086		1959.52222144		1972.43584983		2015.45812484		2029.54019823		2042.95238281	0.94139342	2090.12672480		2104.71108156		2118.58659928		2170.52414557		2185.66425740		2200.03345720		2257.30936118		2273.04053883		2287.98763635		2351.30063063		2367.66439950		2383.22437064		2453.46993724	0.95258944	2470.46149699	
1945.93395586	1.36878360	1959.52826044		1972.44158583		2015.46467184		2029.54644923		2042.95831881	0.93826098	2090.13350980		2104.71755956		2118.59274028		2170.53118457		2185.67097740		2200.03984120		2257.31667618		2273.04752383		2287.99427235		2351.30824463		2367.67167250		2383.23127464		2453.47787224	1.13298635	2470.46907799	
1945.94028086	1.16998620	1959.53429844		1972.44732083		2015.47121984	0.88809701	2029.55269922	0.90400073	2042.96425381	0.94408540	2090.14029380		2104.72403756		2118.59888128	0.96330922	2170.53822357	1.00697848	2185.67769840	0.97771747	2200.04622520		2257.32399018		2273.05450983		2288.00090835		2351.31585763		2367.67894450		2383.23817864		2453.48580724	0.98607399	2470.47665899	
1945.94660586	1.04975416	1959.54033744	1.30584362	1972.45305683	0.82039726	2015.47776684	0.90458796	2029.55895022	0.90705476	2042.97018881	0.97411655	2090.14707780	0.97624956	2104.73051456		2118.60502128	0.96618600	2170.54526257	1.00127853	2185.68441940	0.98061921	2200.05260920		2257.33130418		2273.06149483		2288.00754435		2351.32347063		2367.68621650		2383.24508364		2453.49374224	0.97429879	2470.48423999	
1945.95292986	1.05745780	1959.54637644	1.28329647	1972.45879183	0.82315937	2015.48431384	0.90990432	2029.56520022	0.91105272	2042.97612281	0.98079292	2090.15386180	0.97867831	2104.73699256	0.90174374	2118.61116228	0.97084353	2170.55230057	1.00681391	2185.69113940	0.98341589	2200.05899220		2257.33861818		2273.06848083		2288.01418035		2351.33108363		2367.69348850		2383.25198764		2453.50167624	0.97287563	2470.49181999	
1945.95925486	1.06941603	1959.55241444	1.27032467	1972.46452683	0.82776877	2015.49086084	0.91801922	2029.57145023	0.91532374	2042.98205781	0.97730572	2090.16064580	0.97927213	2104.74346956	0.90478757	2118.61730228	0.96188429	2170.55933857	1.00677123	2185.69786040	0.98222149	2200.06537620		2257.34593218	1.02926880	2273.07546583		2288.02081535		2351.33869663		2367.70076050		2383.25889064		2453.50961024	0.99035468	2470.49939999	
1945.96557886	1.08220387	1959.55845244	1.26177595	1972.47026183	0.83605042	2015.49740684	0.92801986	2029.57770022	0.91728975	2042.98799181	0.97719164	2090.16742980	0.97803544	2104.74994656	0.90888214	2118.62344228	0.95604245	2170.56637757	1.00591656	2185.70458040	0.97846366	2200.07175920	1.00155418	2257.35324618	1.01533949	2273.08245083	1.00055262	2288.02745135		2351.34630963		2367.70803250		2383.26579464		2453.51754424	0.97939820	2470.50697999	
1945.97190286	1.09664132	1959.56449044	1.24066422	1972.47599583	0.84640149	2015.50395384	0.92717457	2029.58395023	0.91776877	2042.99392681	0.96862897	2090.17421380	0.97690575	2104.75642356	0.91254955	2118.62958228	0.95755807	2170.57341557	1.00390426	2185.71130040	0.98764559	2200.07814220	1.01420421	2257.36056018	1.01457204	2273.08943483	1.00642828	2288.03408635		2351.35392163	1.04304498	2367.71530450		2383.27269864		2453.52547824	0.97708563	2470.51455999	
1945.97822686	1.11133232	1959.57052844	1.22741833	1972.48173083	0.85811838	2015.51049984	0.93704740	2029.59019923	0.91500585	2042.99986081	0.97265479	2090.18099680	0.97729523	2104.76290056	0.91741495	2118.63572228	0.95236726	2170.58045257	1.00423818	2185.71801940	0.99039446	2200.08452520	1.01043727	2257.36787318	1.01915773	2273.09641983	1.00411231	2288.04072135	0.98716873	2351.36153463	1.10540736	2367.72257550		2383.27960164		2453.53341224	0.97008004	2470.52213999	
1945.98455086	1.12799391	1959.57656644	1.20499049	1972.48746583	0.86507964	2015.51704684	0.94716293	2029.59644923	0.91512067	2043.00579481	0.97172221	2090.18777980	0.97492736	2104.76937756	0.92466300	2118.64186228	0.96064307	2170.58749057	1.00143621	2185.72473940	0.99152004	2200.09090820	1.01167146	2257.37518718	1.01654900	2273.10340483	0.99900322	2288.04735635	0.98445720	2351.36914663	1.10073237	2367.72984650	1.22449405	2383.28650464		2453.54134624	0.98241166	2470.52971999	0.99091268
1945.99087486	1.15060591	1959.58260444	1.19454203	1972.49319983	0.87209216	2015.52359284	0.94848263	2029.60269823	0.92009092	2043.01172881	0.97773666	2090.19456380	0.97528533	2104.77585456	0.92195641	2118.64800128	0.96104081	2170.59452857	1.00369084	2185.73145940	0.99370392	2200.09729120	1.00802559	2257.38250018	1.01625934	2273.11038883	0.99708652	2288.05399035	0.99172830	2351.37675863	1.08688039	2367.73711750	1.21830843	2383.29340764	1.05427145	2453.54927924	0.97728584	2470.53729899	1.01215629
1945.99719886	1.16144439	1959.58864144	1.18906769	1972.49893383	0.87471084	2015.53013884	0.96817526	2029.60894822	0.92199407	2043.01766281	0.98510644	2090.20134680	0.97195667	2104.78233056	0.92708243	2118.65414128	0.96437539	2170.60156557	1.00198377	2185.73817840	0.99713204	2200.10367320	1.01088945	2257.38981318	1.00986943	2273.11737283	0.99419093	2288.06062535	0.98532902	2351.38437063	1.08183661	2367.74438850	1.20897547	2383.30031064	1.05499663	2453.55721324	0.97955725	2470.54487799	1.00501859
1946.00352186	1.18215510	1959.59467844	1.16958215	1972.50466783	0.87906994	2015.53668484	0.98038269	2029.61519722	0.92559928	2043.02359581	0.98334409	2090.20812980	0.96710413	2104.78880656	0.92901418	2118.66028028	0.96178284	2170.60860357	1.00020705	2185.74489740	1.00036661	2200.11005620	0.99967359	2257.39712618	1.00757080	2273.12435683	0.99260423	2288.06725935	0.98586905	2351.39198263	1.07410513	2367.75165950	1.19842647	2383.30721364	1.05737278	2453.56514624	0.99093862	2470.55245699	1.01696120
1946.00984586	1.19554042	1959.60071644	1.15921044	1972.51040183	0.88263729	2015.54323084	0.99564597	2029.62144622	0.93163124	2043.02952981	0.98223088	2090.21491180	0.97066489	2104.79528356	0.93237292	2118.66641928	0.96606767	2170.61564057	1.00146025	2185.75161640	0.99464136	2200.11643820	0.99909439	2257.40443918	1.00943725	2273.13134083	0.99110976	2288.07389435	0.99072290	2351.39959463	1.07109478	2367.75892950	1.18137585	2383.31411564	1.06557395	2453.57307924	0.99209145	2470.56003599	1.02146194
1946.01616886	1.20112494	1959.60675344	1.15397853	1972.51613583	0.89702676	2015.54977684	1.00740003	2029.62769523	0.93572851	2043.03546281	0.97821060	2090.22169480	0.96836089	2104.80175956	0.93707499	2118.67255828	0.96878543	2170.62267757	1.00001912	2185.75833540	0.99645304	2200.12282020	0.99925954	2257.41175118	1.00808777	2273.13832483	0.98298913	2288.08052835	0.99276500	2351.40720563	1.06637439	2367.76620050	1.17108915	2383.32101764	1.05614380	2453.58101224	1.00434605	2470.56761499	1.01642622
1946.02249186	1.21163520	1959.61279044	1.14509896	1972.52186883	0.90241414	2015.55632184	1.00850207	2029.63394322	0.93772363	2043.04139581	0.99172400	2090.22847780	0.97183891	2104.80823456	0.94531293	2118.67869728	0.96614228	2170.62971457	0.99989203	2185.76505440	1.00091814	2200.12920220	0.99489127	2257.41906418	1.00730478	2273.14530783	0.98954449	2288.08716135	0.99927435	2351.41481763	1.06477269	2367.77347050	1.15796226	2383.32792064	1.07386532	2453.58894424	1.00377218	2470.57519399	1.02200318
1946.02881486	1.21931762	1959.61882744	1.12978260	1972.52760283	0.90838597	2015.56286784	1.00959554	2029.64019222	0.94192470	2043.04732881	0.99362917	2090.23525980	0.97225634	2104.81471056	0.95102116	2118.68483528	0.96454610	2170.63675157	1.00334332	2185.77177340	1.00135769	2200.13558420	0.98943282	2257.42637618	1.00995840	2273.15229183	0.99184181	2288.09379535	0.99696945	2351.42242863	1.05524546	2367.78074050	1.14888317	2383.33482164	1.07641199	2453.59687724	1.00042306	2470.58277199	1.01334654
1946.03513786	1.20707848	1959.62486344	1.12021192	1972.53333583	0.91361182	2015.56941284	1.00386171	2029.64644023	0.94220587	2043.05326181	0.99085725	2090.24204180	0.97217936	2104.82118656	0.95362203	2118.69097428	0.96575169	2170.64378757	1.00369802	2185.77849140	1.00224434	2200.14196620	0.97031438	2257.43368818	1.00584817	2273.15927483	0.99944942	2288.10042935	0.99000080	2351.43003963	1.04036999	2367.78801050	1.14031205	2383.34172364	1.07018007	2453.60480924	1.00937193	2470.59034999	1.01460722
1946.04146086	1.19564011	1959.63090044	1.11729795	1972.53906883	0.92296996	2015.57595784	0.99816476	2029.65268823	0.95343878	2043.05919481	0.99144137	2090.24882480	0.97398471	2104.82766156	0.95687036	2118.69711228	0.97290850	2170.65082457	0.99546502	2185.78521040	1.00182768	2200.14834720	0.96690497	2257.44100118	1.00562712	2273.16625783	0.99776233	2288.10706235	0.99998543	2351.43765063	1.04044163	2367.79528050	1.13937541	2383.34862564	1.07278975	2453.61274224	1.00153428	2470.59792799	1.02028564
1946.04778386	1.17033084	1959.63693644	1.10554577	1972.54480183	0.92706552	2015.58250284	0.99618100	2029.65893723	0.95231702	2043.06512681	0.99006819	2090.25560680	0.97306972	2104.83413656	0.95609586	2118.70325028	0.97862865	2170.65786057	1.00524854	2185.79192840	1.00010667	2200.15472820	0.97360693	2257.44831318	1.00557847	2273.17324083	0.99221015	2288.11369535	0.99638602	2351.44526163	1.02636382	2367.80254950	1.14093676	2383.35552664	1.05738905	2453.62067424	1.00671781	2470.60550599	1.02799629
1946.05410586	1.14739191	1959.64297344	1.09243840	1972.55053483	0.93481624	2015.58904784	0.99573827	2029.66518522	0.95382400	2043.07105981	0.99754015	2090.26238780	0.97007096	2104.84061256	0.96137207	2118.70938828	0.98065982	2170.66489757	0.99984355	2185.79864640	1.00219630	2200.16110920	0.98042501	2257.45562418	1.00109220	2273.18022383	0.99680331	2288.12032835	0.99504187	2351.45287263	1.02775310	2367.80981950	1.12858114	2383.36242864	1.06037621	2453.62860624	1.00610579	2470.61308399	1.02291004
1946.06042886	1.12309762	1959.64900944	1.08923368	1972.55626683	0.94158737	2015.59559284	0.99688427	2029.67143323	0.95897805	2043.07699181	0.99540420	2090.26916980	0.96911377	2104.84708756	0.96137419	2118.71552628	0.97666279	2170.67193357	1.00241756	2185.80536440	1.00345209	2200.16749020	0.98724309	2257.46293618	1.00118278	2273.18720583	0.99262786	2288.12696135	1.00099481	2351.46048263	1.02627093	2367.81708850	1.13067407	2383.36932964	1.06049156	2453.63653824	1.01040280	2470.62066099	1.01064544
1946.06675086	1.09841863	1959.65504544	1.08701067	1972.56199983	0.94309391	2015.60213684	0.99752114	2029.67768022	0.96311042	2043.08292381	0.99676087	2090.27595180	0.97715715	2104.85356256	0.96819834	2118.72166428	0.97811811	2170.67896957	1.00117022	2185.81208240	1.00351556	2200.17387120	0.99406117	2257.47024818	1.00733913	2273.19418883	0.98916829	2288.13359435	0.99773484	2351.46809263	1.02065179	2367.82435750	1.11431211	2383.37623064	1.05336005	2453.64446924	1.00920250	2470.62823899	1.02248129
1946.07307286	1.08835942	1959.66108144	1.07678982	1972.56773183	0.94531675	2015.60868184	0.99816302	2029.68392823	0.96528175	2043.08885581	0.99318082	2090.28273280	0.97528247	2104.86003656	0.97230945	2118.72780228	0.97833723	2170.68600457	0.99922976	2185.81879940	1.00030378	2200.18025220	1.00087925	2257.47755918	1.00738408	2273.20117083	0.98258804	2288.14022635	0.99681600	2351.47570363	1.01230908	2367.83162650	1.10894608	2383.38313164	1.04692504	2453.65240124	1.01468876	2470.63581599	1.01573626
1946.07939486	1.07415709	1959.66711744	1.06074926	1972.57346483	0.95551001	2015.61522584	1.00502851	2029.69017523	0.96802360	2043.09478781	0.99776245	2090.28951480	0.97632018	2104.86651156	0.97191701	2118.73393928	0.98403383	2170.69304057	1.00102770	2185.82551740	1.00294328	2200.18663220	1.00769627	2257.48487018	1.00656143	2273.20815283	0.99131929	2288.14685935	0.99730047	2351.48331363	1.00742849	2367.83889550	1.09943593	2383.39003164	1.06725258	2453.66033224	1.00526649	2470.64339299	1.00884154
1946.08571686	1.06900295	1959.67315244	1.06378069	1972.57919683	0.95946843	2015.62176984	1.00364579	2029.69642322	0.97111012	2043.10071881	1.00091206	2090.29629580	0.97782745	2104.87298556	0.97610287	2118.74007628	0.97917973	2170.70007657	0.99764882	2185.83223440	1.00466633	2200.19301320	1.01451435	2257.49218118	1.00733868	2273.21513483	0.99586227	2288.15349135	0.99954356	2351.49092363	0.99922213	2367.84616450	1.09398677	2383.39693264	1.04517966	2453.66826324	1.01133575	2470.65096999	1.01733618
1946.09203886	1.06143989	1959.67918844	1.06022612	1972.58492883	0.96555956	2015.62831484	1.00449407	2029.70267023	0.97239065	2043.10665081	1.00313959	2090.30307680	0.97396451	2104.87946056	0.97987197	2118.74621328	0.98211665	2170.70711157	0.99471940	2185.83895140	1.00345979	2200.19939320	1.02076165	2257.49949218	1.00328725	2273.22211683	0.98859253	2288.16012335	1.00207034	2351.49853363	0.99450501	2367.85343250	1.09116722	2383.40383264	1.02848608	2453.67619424	1.02198916	2470.65854699	1.02082887
