freqO0C1	fluxO0C1	freqO0C2	fluxO0C2	freqO0C3	fluxO0C3	freqO1C1	fluxO1C1	freqO1C2	fluxO1C2	freqO1C3	fluxO1C3	freqO2C1	fluxO2C1	freqO2C2	fluxO2C2	freqO2C3	fluxO2C3	freqO3C1	fluxO3C1	freqO3C2	fluxO3C2	freqO3C3	fluxO3C3	freqO4C1	fluxO4C1	freqO4C2	fluxO4C2	freqO4C3	fluxO4C3	freqO5C1	fluxO5C1	freqO5C2	fluxO5C2	freqO5C3	fluxO5C3	freqO6C1	fluxO6C1	freqO6C2	fluxO6C2
1945.91200292		1959.52281989		1972.42893540		2015.44950740		2029.53746591		2042.89590852		2090.11492717		2104.70946014		2118.53298570		2170.49652627		2185.60037222		2200.02547390		2257.30298325		2273.03036565		2287.98249063		2351.29263073		2367.65420423		2383.21852172		2453.40894503		2470.45271873	
1945.91832992		1959.52885989		1972.43467240		2015.45605641		2029.54371792		2042.90184653		2090.12171317		2104.71594014		2118.53913970		2170.50356727		2185.60709623		2200.03186091		2257.31029925		2273.03735466		2287.98912964		2351.30024773		2367.66147924		2383.22543073		2453.41688504		2470.46030274	
1945.92465593		1959.53489990		1972.44040941		2015.46260541		2029.54996892		2042.90778453		2090.12849918		2104.72242015		2118.54529371		2170.51060928		2185.61382023		2200.03824791		2257.31761626		2273.04434266		2287.99576864		2351.30786374		2367.66875524		2383.23233873		2453.42482505		2470.46788575	
1945.93098193		1959.54093890		1972.44614641		2015.46915442		2029.55622093		2042.91372254		2090.13528518		2104.72890015		2118.55144771		2170.51765129		2185.62054424		2200.04463492		2257.32493227		2273.05133167		2288.00240765		2351.31547975		2367.67603025		2383.23924674		2453.43276505		2470.47546875	
1945.93730794	0.87286272	1959.54697891		1972.45188342	0.83324240	2015.47570243	0.98098880	2029.56247293	0.93175224	2042.91965954		2090.14207119		2104.73537916		2118.55760072		2170.52469229		2185.62726825		2200.05102092		2257.33224927		2273.05831968		2288.00904565		2351.32309575		2367.68330625		2383.24615474		2453.44070506		2470.48305176	
1945.94363394	1.04541727	1959.55301791	1.18851257	1972.45761942	0.86512395	2015.48225043	0.94183815	2029.56872394	0.91912025	2042.92559655	0.99111375	2090.14885720	0.98670440	2104.74185817	0.92167117	2118.56375472		2170.53173330		2185.63399225		2200.05740793		2257.33956528		2273.06530768		2288.01568466		2351.33071176		2367.69058126		2383.25306275		2453.44864407		2470.49063477	
1945.94995995	1.05373568	1959.55905692	1.17137097	1972.46335643	0.86635919	2015.48879944	0.98502935	2029.57497494	0.95325992	2042.93153455	0.97464330	2090.15564220	1.01093120	2104.74833817	0.91737592	2118.56990773		2170.53877430		2185.64071526		2200.06379393		2257.34688128	1.03713492	2273.07229569		2288.02232266		2351.33832776		2367.69785627		2383.25996975		2453.45658307		2470.49821777	
1945.95628595	1.12290263	1959.56509692	1.17736011	1972.46909243	0.86773315	2015.49534744	0.96354394	2029.58122695	0.91208633	2042.93747156	0.97445331	2090.16242721	1.00729461	2104.75481718	0.93419559	2118.57606073		2170.54581531	1.00827685	2185.64743926		2200.07017994	0.99806289	2257.35419729	0.98383381	2273.07928369		2288.02896067		2351.34594277		2367.70513127		2383.26687776		2453.46452308		2470.50580078	
1945.96261196	1.03116405	1959.57113593	1.20451691	1972.47482844	0.85004804	2015.50189545	0.95916329	2029.58747795	0.91757714	2042.94340756	0.98524942	2090.16921321	0.99110281	2104.76129518	0.91780805	2118.58221374		2170.55285632	0.97774993	2185.65416227		2200.07656595	1.03858574	2257.36151230	0.99336963	2273.08627170	1.06922588	2288.03559868		2351.35355878		2367.71240528		2383.27378477		2453.47246208	0.97687072	2470.51338279	
1945.96893696	1.07411073	1959.57717393	1.12703387	1972.48056444	0.84972827	2015.50844245	0.99219995	2029.59372796	0.92356393	2042.94934457	0.94923605	2090.17599822	0.97696354	2104.76777419	0.92977743	2118.58836674		2170.55989732	0.98524597	2185.66088527		2200.08295095	0.98907794	2257.36882830	1.03670369	2273.09325970	1.01017866	2288.04223668	0.98934679	2351.36117378	1.10031583	2367.71968028		2383.28069177		2453.48040009	0.96684372	2470.52096479	
