freqO0C1	fluxO0C1	freqO0C2	fluxO0C2	freqO0C3	fluxO0C3	freqO1C1	fluxO1C1	freqO1C2	fluxO1C2	freqO1C3	fluxO1C3	freqO2C1	fluxO2C1	freqO2C2	fluxO2C2	freqO2C3	fluxO2C3	freqO3C1	fluxO3C1	freqO3C2	fluxO3C2	freqO3C3	fluxO3C3	freqO4C1	fluxO4C1	freqO4C2	fluxO4C2	freqO4C3	fluxO4C3	freqO5C1	fluxO5C1	freqO5C2	fluxO5C2	freqO5C3	fluxO5C3	freqO6C1	fluxO6C1	freqO6C2	fluxO6C2
1945.91301947		1959.52189183		1972.43036760		2015.44985331		2029.53852820		2042.89610334		2090.11594123		2104.70952200		2118.48660836		2170.50859629		2185.63130274		2200.03622508		2257.30051050		2273.03144476		2287.98086166		2351.29193430		2367.65684580		2383.21267807		2453.41938248		2470.45065882	
1945.91934548		1959.52793184		1972.43610560		2015.45640232		2029.54478021		2042.90204135		2090.12272723		2104.71600200		2118.49276236		2170.51563829		2185.63802675		2200.04261209		2257.30782650		2273.03843377		2287.98750067		2351.29955030		2367.66412181		2383.21958708		2453.42732249		2470.45824283	
1945.92567248		1959.53397084		1972.44184161		2015.46295132		2029.55103221		2042.90797935		2090.12951324		2104.72248201		2118.49891637		2170.52268030		2185.64475075		2200.04899909		2257.31514351		2273.04542178		2287.99413967		2351.30716731		2367.67139781		2383.22649509		2453.43526249		2470.46582584	
1945.93199848		1959.54001085		1972.44757861		2015.46949933		2029.55728422		2042.91391636		2090.13629925		2104.72896101		2118.50507037		2170.52972131		2185.65147476		2200.05538610		2257.32245951		2273.05241078		2288.00077868		2351.31478331		2367.67867282		2383.23340309		2453.44320250		2470.47340984	
1945.93832450	0.88228795	1959.54605085		1972.45331562	0.78231219	2015.47604834	0.95142786	2029.56353522	0.91121033	2042.91985436		2090.14308525		2104.73544102		2118.51122438		2170.53676331		2185.65819876		2200.06177210		2257.32977652		2273.05939879		2288.00741668		2351.32239932		2367.68594783		2383.24031110		2453.45114151		2470.48099285	
1945.94465050	1.06783229	1959.55208986	1.19089791	1972.45905162	0.81349567	2015.48259634	0.97543883	2029.56978723	0.88755025	2042.92579137	0.95764083	2090.14987026	0.97466634	2104.74192003	0.90594368	2118.51737738		2170.54380432	0.99451326	2185.66492277		2200.06815811		2257.33709253		2273.06638679		2288.01405569		2351.33001533		2367.69322383		2383.24721910		2453.45908151		2470.48857485	
1945.95097650	1.03880876	1959.55812886	1.21119111	1972.46478863	0.81183770	2015.48914435	0.93068955	2029.57603823	0.91411373	2042.93172837	0.95536490	2090.15665626	0.95617449	2104.74839903	0.91256162	2118.52353139		2170.55084532	0.99764270	2185.67164577		2200.07454511	1.01585066	2257.34440853		2273.07337480		2288.02069369		2351.33763133		2367.70049784		2383.25412611		2453.46702052		2470.49615786	
1945.95730151	1.08736350	1959.56416787	1.17466244	1972.47052463	0.78067238	2015.49569235	0.99284251	2029.58228924	0.90181116	2042.93766538	0.98230845	2090.16344127	0.99674163	2104.75487804	0.91420303	2118.52968439		2170.55788633	1.01657936	2185.67836978		2200.08093112	0.99136224	2257.35172454	1.01509458	2273.08036280		2288.02733270		2351.34524634		2367.70777284		2383.26103411		2453.47495953	2.02582437	2470.50374087	
1945.96362751	1.03718233	1959.57020687	1.16491651	1972.47626064	0.81389797	2015.50224036	0.96598615	2029.58854024	0.89257890	2042.94360238	0.97385487	2090.17022727	0.95187680	2104.76135704	0.90320282	2118.53583740		2170.56492734	0.99869576	2185.68509278	1.00851360	2200.08731712	1.03120816	2257.35903954	1.01814278	2273.08735081	0.97891232	2288.03397070		2351.35286235		2367.71504785		2383.26794112		2453.48289852	0.83879820	2470.51132287	
1945.96995351	1.09049487	1959.57624588	1.16913627	1972.48199664	0.83214834	2015.50878836	0.98102917	2029.59479125	0.92587213	2042.94953939	0.95865828	2090.17701228	0.97395858	2104.76783605	0.92957456	2118.54199040		2170.57196834	1.00481189	2185.69181579	0.97085869	2200.09370213	1.00227041	2257.36635555	0.99966496	2273.09433882	0.99664038	2288.04060771	0.98935734	2351.36047735	1.07863322	2367.72232186		2383.27484813		2453.49083753	1.01296970	2470.51890488	
