freqO0C1	fluxO0C1	freqO0C2	fluxO0C2	freqO0C3	fluxO0C3	freqO1C1	fluxO1C1	freqO1C2	fluxO1C2	freqO1C3	fluxO1C3	freqO2C1	fluxO2C1	freqO2C2	fluxO2C2	freqO2C3	fluxO2C3	freqO3C1	fluxO3C1	freqO3C2	fluxO3C2	freqO3C3	fluxO3C3	freqO4C1	fluxO4C1	freqO4C2	fluxO4C2	freqO4C3	fluxO4C3	freqO5C1	fluxO5C1	freqO5C2	fluxO5C2	freqO5C3	fluxO5C3	freqO6C1	fluxO6C1	freqO6C2	fluxO6C2
1945.92216125		1959.52730573		1972.42985782		2015.45107879		2029.53480109		2042.89240238		2090.10849161		2104.70493899		2118.52138468		2170.40223415		2185.54638490		2200.00691761		2257.27164434		2272.99060050		2287.94248386		2351.24860635		2367.60746235		2383.16663172		2453.34722018		2470.38285416	
1945.92848626		1959.53334373		1972.43559282		2015.45762580		2029.54105209		2042.89833938		2090.11527561		2104.71141700		2118.52753668		2170.40927416		2185.55310790		2200.01330261		2257.27895835		2272.99758651		2287.94912086		2351.25622036		2367.61473537		2383.17353772		2453.35515819		2470.39043516	
1945.93481026		1959.53938274		1972.44132883		2015.46417281		2029.54730210		2042.90427539		2090.12205962		2104.71789401		2118.53368869		2170.41631416		2185.55982991		2200.01968762		2257.28627335		2273.00457351		2287.95575787		2351.26383436		2367.62200837		2383.18044373		2453.36309519		2470.39801617	
1945.94113527	3.39673208	1959.54542074		1972.44706383		2015.47071981		2029.55355210		2042.91021239		2090.12884363		2104.72437201		2118.53984069		2170.42335417		2185.56655192		2200.02607262		2257.29358736		2273.01155952		2287.96239487		2351.27144837		2367.62928137		2383.18734973		2453.37103320		2470.40559718	
1945.94745927	1.18471196	1959.55145875	1.20252631	1972.45279884	0.79607532	2015.47726582	0.92576306	2029.55980211	0.88287043	2042.91614840		2090.13562762		2104.73085002		2118.54599270		2170.43039417		2185.57327292		2200.03245763		2257.30090137		2273.01854552		2287.96903188		2351.27906137		2367.63655439		2383.19425474		2453.37897021		2470.41317818	
1945.95378428	1.19907083	1959.55749675	1.17993798	1972.45853384	0.80167658	2015.48381282	0.95899666	2029.56605212	0.84440553	2042.92208440		2090.14241164		2104.73732702		2118.55214370		2170.43743318		2185.57999493		2200.03884163		2257.30821437		2273.02553053		2287.97566889		2351.28667538		2367.64382738		2383.20116075		2453.38690721		2470.42075919	
1945.96010829	1.18087315	1959.56353476	1.23778757	1972.46426885	0.79436853	2015.49035983	0.94934042	2029.57230112	0.84235919	2042.92801941	0.99415237	2090.14919565	1.01759203	2104.74380403	0.91293913	2118.55829471		2170.44447319		2185.58671693		2200.04522664		2257.31552838		2273.03251653		2287.98230489		2351.29428839		2367.65110039		2383.20806575		2453.39484322		2470.42833919	
1945.96643229	1.18633056	1959.56957276	1.19005916	1972.47000285	0.76511634	2015.49690583	0.94656671	2029.57855113	0.86005362	2042.93395541	0.97172496	2090.15597864	1.05594881	2104.75028203	0.88828262	2118.56444571		2170.45151219		2185.59343794		2200.05161064		2257.32284238		2273.03950254		2287.98894090		2351.30190139		2367.65837239		2383.21497176		2453.40278023		2470.43592020	
1945.97275630	1.18887414	1959.57560977	1.15553068	1972.47573786	0.82972333	2015.50345184	0.97464568	2029.58480013	0.85577950	2042.93989142	0.97557034	2090.16276165	1.05089566	2104.75675904	0.91012297	2118.57059672		2170.45855120		2185.60015894		2200.05799465		2257.33015539		2273.04648755		2287.99557690		2351.30951440		2367.66564441		2383.22187676		2453.41071723		2470.44350021	
1945.97908030	1.14722753	1959.58164777	1.16692404	1972.48147186	0.81179411	2015.50999784	0.94587406	2029.59105014	0.88040059	2042.94582642	0.98367762	2090.16954565	1.01530312	2104.76323504	0.92264858	2118.57674772		2170.46559020		2185.60687995		2200.06437866		2257.33746840		2273.05347255		2288.00221291		2351.31712741		2367.67291741		2383.22878077		2453.41865324		2470.45108021	
