freqO0C1	fluxO0C1	freqO0C2	fluxO0C2	freqO0C3	fluxO0C3	freqO1C1	fluxO1C1	freqO1C2	fluxO1C2	freqO1C3	fluxO1C3	freqO2C1	fluxO2C1	freqO2C2	fluxO2C2	freqO2C3	fluxO2C3	freqO3C1	fluxO3C1	freqO3C2	fluxO3C2	freqO3C3	fluxO3C3	freqO4C1	fluxO4C1	freqO4C2	fluxO4C2	freqO4C3	fluxO4C3	freqO5C1	fluxO5C1	freqO5C2	fluxO5C2	freqO5C3	fluxO5C3	freqO6C1	fluxO6C1	freqO6C2	fluxO6C2
1945.90386629		1959.50640046		1972.41637953		2015.44057570		2029.52155645		2042.88994135		2090.11183359		2104.69072170		2118.57689133		2170.46625306		2185.61363363		2200.01241960		2257.29252431		2273.01930421		2287.97101849		2351.28220169		2367.64802268		2383.20599232		2453.40468284		2470.44031415	
1945.91019228		1959.51244045		1972.42211752		2015.44712469		2029.52780945		2042.89588034		2090.11862057		2104.69720269		2118.58304632		2170.47329506		2185.62035761		2200.01880659		2257.29984230		2273.02629320		2287.97765748		2351.28981868		2367.65529867		2383.21290031		2453.41262282		2470.44789913	
1945.91651927		1959.51848144		1972.42785451		2015.45367368		2029.53406143		2042.90181833		2090.12540756		2104.70368268		2118.58920031		2170.48033805		2185.62708260		2200.02519358		2257.30715928		2273.03328219		2287.98429747		2351.29743566		2367.66257566		2383.21980929		2453.42056281		2470.45548312	
1945.92284626		1959.52452143		1972.43359150		2015.46022267		2029.54031343		2042.90775632		2090.13219355		2104.71016267		2118.59535430		2170.48738103		2185.63380659		2200.03157957		2257.31447727		2273.04027217		2287.99093646		2351.30505265		2367.66985165		2383.22671728		2453.42850180		2470.46306811	
1945.92917225		1959.53056142		1972.43932849		2015.46677166	0.85676848	2029.54656642		2042.91369331		2090.13898054		2104.71664266		2118.60150829		2170.49442301		2185.64053158		2200.03796656		2257.32179426		2273.04726016		2287.99757545		2351.31266864		2367.67712664		2383.23362527		2453.43644079		2470.47065210	
1945.93549824	0.99617827	1959.53660141	1.29723343	1972.44506548		2015.47332065	0.89499965	2029.55281840	0.86813261	2042.91963130	0.95794918	2090.14576653	0.92313765	2104.72312265		2118.60766228	0.94209057	2170.50146600		2185.64725557		2200.04435255		2257.32911125		2273.05424915		2288.00421444		2351.32028563		2367.68440262		2383.24053226		2453.44437977		2470.47823608	
1945.94182523	0.96769847	1959.54264040	1.25704912	1972.45080247	0.86923519	2015.47986864	0.90341437	2029.55906939	0.88977189	2042.92556929	0.97792750	2090.15255252	0.93537909	2104.72960264		2118.61381627	0.92049158	2170.50850800		2185.65397956		2200.05073854		2257.33642823		2273.06123814		2288.01085243		2351.32790161		2367.69167761		2383.24744025		2453.45231876		2470.48582007	
1945.94815122	0.94511095	1959.54868039	1.31922804	1972.45653846	0.88614943	2015.48641763	0.90238201	2029.56532138	0.88286815	2042.93150628	0.97812757	2090.15933951	0.94956959	2104.73608263	0.87386470	2118.61996926	0.92915528	2170.51554998		2185.66070355		2200.05712453		2257.34374522	1.00611031	2273.06822713		2288.01749141		2351.33551760		2367.69895360		2383.25434724		2453.46025775		2470.49340306	
1945.95447620	0.99152256	1959.55472038	1.25800768	1972.46227545	0.88825125	2015.49296562	0.91156630	2029.57157338	0.91570843	2042.93744327	0.97056185	2090.16612450	0.92523802	2104.74256161	0.89558154	2118.62612225	0.93202494	2170.52259197		2185.66742654		2200.06351052	0.98343821	2257.35106221	1.00236443	2273.07521512	1.02125834	2288.02412940		2351.34313459		2367.70622859		2383.26125522		2453.46819673	1.00451074	2470.50098704	
1945.96080219	0.95984256	1959.56075937	1.25668893	1972.46801144	0.89616302	2015.49951461	0.91525926	2029.57782437	0.90898162	2042.94338026	0.99032243	2090.17291048	0.94663735	2104.74904160	0.88675396	2118.63227624	0.93030423	2170.52963295		2185.67415052	0.99366302	2200.06989651	0.96456877	2257.35837820	1.00167177	2273.08220310	1.03593378	2288.03076739		2351.35074958	1.14590709	2367.71350358		2383.26816221		2453.47613472	0.95332038	2470.50857003	
1945.96712818	1.00816696	1959.56679836	1.23916469	1972.47374744	0.89033866	2015.50606259	0.91226666	2029.58407635	0.89146760	2042.94931725	0.97171541	2090.17969647	0.95424761	2104.75552059	0.90066359	2118.63842923	0.93660620	2170.53667495	1.01957584	2185.68087351	0.97945946	2200.07628149	1.00682454	2257.36569519	1.01090340	2273.08919109	1.01768993	2288.03740538	0.95683739	2351.35836556	1.10975119	2367.72077856	1.13593654	2383.27506920		2453.48407271	0.94970447	2470.51615302	
1945.97345317	1.03883993	1959.57283735	1.16019363	1972.47948343	0.94183632	2015.51261058	0.92999919	2029.59032733	0.87544143	2042.95525424	0.98633268	2090.18648246	0.94058912	2104.76199958	0.88738871	2118.64458122	0.94962611	2170.54371593	0.99977612	2185.68759650	1.00501711	2200.08266748	0.97811641	2257.37301117	1.04511320	2273.09617908	1.01663242	2288.04404337	0.99262995	2351.36598155	1.16043565	2367.72805355	1.20683839	2383.28197519		2453.49201169	1.03155206	2470.52373601	0.98656777
1945.97977916	1.03038839	1959.57887634	1.17184305	1972.48521942	0.93320488	2015.51915757	0.92999572	2029.59657832	0.92274177	2042.96119023	0.99226890	2090.19326745	0.95185939	2104.76847857	0.91082516	2118.65073421	0.98335539	2170.55075793	1.01455365	2185.69432049	0.97075257	2200.08905247	1.02339511	2257.38032716	1.01356468	2273.10316707	1.02257068	2288.05068136	0.96579171	2351.37359654	1.11282921	2367.73532754	1.17917027	2383.28888218	1.12783815	2453.49994968	0.95963517	2470.53131899	1.13404374
1945.98610415	1.03427748	1959.58491533	1.18421927	1972.49095541	0.96000132	2015.52570556	0.95784869	2029.60282932	0.90075659	2042.96712722	0.96855794	2090.20005244	0.94250796	2104.77495756	0.91601065	2118.65688720	0.98064482	2170.55779891	0.99838425	2185.70104248	1.00274343	2200.09543746	0.98345710	2257.38764315	1.01975451	2273.11015406	1.01924118	2288.05731835	1.00484949	2351.38121252	1.06531170	2367.74260153	1.14797760	2383.29578817	1.16499304	2453.50788667	1.00556141	2470.53890198	1.04070987
