freqO0C1	fluxO0C1	freqO0C2	fluxO0C2	freqO0C3	fluxO0C3	freqO1C1	fluxO1C1	freqO1C2	fluxO1C2	freqO1C3	fluxO1C3	freqO2C1	fluxO2C1	freqO2C2	fluxO2C2	freqO2C3	fluxO2C3	freqO3C1	fluxO3C1	freqO3C2	fluxO3C2	freqO3C3	fluxO3C3	freqO4C1	fluxO4C1	freqO4C2	fluxO4C2	freqO4C3	fluxO4C3	freqO5C1	fluxO5C1	freqO5C2	fluxO5C2	freqO5C3	fluxO5C3	freqO6C1	fluxO6C1	freqO6C2	fluxO6C2
1945.90498964		1959.50662785		1972.41960822		2015.44121079		2029.52259677		2042.89197227		2090.11032626		2104.70014769		2118.52971692		2170.50444375		2185.61980564		2200.01746504		2257.29307482		2273.01769787		2287.97251829		2351.28342581		2367.64866684		2383.20773497		2453.41547057		2470.44327959	
1945.91131663		1959.51266884		1972.42534621		2015.44775978		2029.52884976		2042.89791026		2090.11711325		2104.70662867		2118.53587091		2170.51148673		2185.62652962		2200.02385203		2257.30039281		2273.02468786		2287.97915828		2351.29104279		2367.65594383		2383.21464395		2453.42341056		2470.45086458	
1945.91764262		1959.51870883		1972.43108320		2015.45430977		2029.53510175		2042.90384825		2090.12389924		2104.71310866		2118.54202490		2170.51852972		2185.63325461		2200.03023802		2257.30770979		2273.03167685		2287.98579727		2351.29865978		2367.66321982		2383.22155195		2453.43134954		2470.45844857	
1945.92396961		1959.52474882		1972.43682019		2015.46085876		2029.54135474		2042.90978624		2090.13068622		2104.71958965		2118.54817889		2170.52557172		2185.63997860		2200.03662501		2257.31502778		2273.03866584		2287.99243626		2351.30627676		2367.67049581		2383.22845993		2453.43928853		2470.46603355	
1945.93029559	1.64411759	1959.53078881		1972.44255718		2015.46740675	0.89548280	2029.54760673	0.87794957	2042.91572423		2090.13747221		2104.72606964		2118.55433288		2170.53261470		2185.64670359		2200.04301100		2257.32234477		2273.04565482		2287.99907525		2351.31389276		2367.67777080		2383.23536792		2453.44722852		2470.47361754	
1945.93662258	1.00788423	1959.53682880	1.27606037	1972.44829417	0.83553840	2015.47395574	0.92263991	2029.55385872	0.90757923	2042.92166222	0.96485688	2090.14425920	0.97657316	2104.73254963	0.90130593	2118.56048687		2170.53965669	1.02450398	2185.65342758		2200.04939799		2257.32966176		2273.05264381		2288.00571423		2351.32150973		2367.68504678		2383.24227592		2453.45516749		2470.48120153	
1945.94294857	1.00808645	1959.54286879	1.25011458	1972.45403116	0.86236762	2015.48050473	0.92306699	2029.56011071	0.89454403	2042.92759921	0.97087808	2090.15104519	0.97150057	2104.73902862	0.91755367	2118.56664086		2170.54669868	1.01444086	2185.66015157		2200.05578398		2257.33697874		2273.05963280		2288.01235322		2351.32912572		2367.69232277		2383.24918290		2453.46310648		2470.48878551	
1945.94927456	1.01137518	1959.54890878	1.25599969	1972.45976715	0.88446390	2015.48705272	0.93279765	2029.56636269	0.90753299	2042.93353720	0.95140821	2090.15783118	0.98405571	2104.74550861	0.91356908	2118.57279385		2170.55374066	1.01909153	2185.66687456		2200.06216997		2257.34429573	1.00221203	2273.06662079		2288.01899121		2351.33674272		2367.69959776		2383.25609088		2453.47104547	5.95044614	2470.49636950	
1945.95560055	1.04195905	1959.55494777	1.23163936	1972.46550414	0.84684843	2015.49360171	0.94366760	2029.57261368	0.89060229	2042.93947419	0.96941148	2090.16461717	0.99086475	2104.75198860	0.88762369	2118.57894784		2170.56078266	1.02926120	2185.67359855	0.97880561	2200.06855596	0.97481391	2257.35161172	1.03800376	2273.07360978		2288.02562920		2351.34435870		2367.70687275		2383.26299787		2453.47898346	0.93984976	2470.50395249	
1945.96192654	1.08319584	1959.56098676	1.23873745	1972.47124013	0.90359741	2015.50014969	0.95260215	2029.57886567	0.90204608	2042.94541118	0.99376465	2090.17140316	0.99941002	2104.75846759	0.91100645	2118.58510083		2170.56782464	1.01827610	2185.68032253	0.97584375	2200.07494095	1.02577304	2257.35892871	1.01766298	2273.08059777	1.05267442	2288.03226819	1.00122744	2351.35197468	1.14431133	2367.71414773		2383.26990486		2453.48692244	0.98968300	2470.51153548	
1945.96825153	1.08269432	1959.56702675	1.20929393	1972.47697612	0.91663784	2015.50669768	0.93887892	2029.58511666	0.92568924	2042.95134817	0.99950433	2090.17818915	0.98938992	2104.76494658	0.92007276	2118.59125382	0.97145008	2170.57486564	1.01096262	2185.68704552	0.99048220	2200.08132694	1.02438153	2257.36624470	1.01819945	2273.08758575	0.98269785	2288.03890618	0.97842692	2351.35958968	1.15261263	2367.72142272	1.22503235	2383.27681186		2453.49486043	0.94801040	2470.51911946	
1945.97457752	1.08575813	1959.57306574	1.19071684	1972.48271211	0.88978023	2015.51324567	0.95893668	2029.59136765	0.91281052	2042.95728416	0.95665578	2090.18497413	0.97019680	2104.77142557	0.89300437	2118.59740681	0.97683195	2170.58190762	1.03138471	2185.69376851	1.00151335	2200.08771193	1.01345160	2257.37356168	0.97798389	2273.09457374	1.00483814	2288.04554317	1.00029408	2351.36720567	1.08299231	2367.72869771	1.21198610	2383.28371885		2453.50279842	0.92221762	2470.52670245	0.96856306
1945.98090251	1.15388952	1959.57910473	1.16079410	1972.48844810	0.90803593	2015.51979366	0.94573403	2029.59761864	0.91725053	2042.96322115	0.96665504	2090.19175912	0.97724795	2104.77790456	0.92788041	2118.60355880	0.98077291	2170.58894861	1.01012231	2185.70049150	0.97880212	2200.09409691	1.01895874	2257.38087767	1.04398393	2273.10156073	1.01860639	2288.05218116	1.00052798	2351.37482066	1.14103876	2367.73597170	1.18066890	2383.29062483	1.10136657	2453.51073640	0.99257938	2470.53428544	1.09005652
1945.98722750	1.15333096	1959.58514272	1.19657033	1972.49418409	0.88502176	2015.52634165	0.98783300	2029.60386963	0.93091830	2042.96915714	0.97414655	2090.19854511	1.00373601	2104.78438354	0.91897792	2118.60971179	0.98654422	2170.59598959	1.00530529	2185.70721449	1.00417930	2200.10048190	0.98622542	2257.38819366	1.01012738	2273.10854872	1.00960329	2288.05881915	1.00053905	2351.38243663	1.12637880	2367.74324669	1.19457540	2383.29753182	1.09070709	2453.51867440	0.92932783	2470.54186743	1.06217723
1945.99355349	1.14249173	1959.59118171	1.15503945	1972.49991908	0.89870764	2015.53288864	0.97910759	2029.61012062	0.90520194	2042.97509413	0.96815061	2090.20533010	0.98343960	2104.79086253	0.92161089	2118.61586378	0.93508938	2170.60303159	1.01493196	2185.71393748	0.95286030	2200.10686689	1.02046872	2257.39550965	1.00600747	2273.11553571	0.99325653	2288.06545613	1.02625890	2351.39005162	1.08867058	2367.75052067	1.16404092	2383.30443780	1.03473281	2453.52661237	0.94590782	2470.54945041	1.02328220
1945.99987848	1.12298922	1959.59721970	1.11798459	1972.50565507	0.90474714	2015.53943663	0.99483723	2029.61637161	0.93010373	2042.98103012	0.99604731	2090.21211509	0.97318989	2104.79734052	0.91345530	2118.62201677	0.95542102	2170.61007158	1.00700523	2185.72066047	0.99053850	2200.11325188	1.01245721	2257.40282463	0.99375248	2273.12252370	1.01385647	2288.07209312	1.02363882	2351.39766661	1.08263518	2367.75779466	1.13191371	2383.31134379	1.12922272	2453.53454937	0.96517375	2470.55703240	1.07599188
1946.00620247	1.19321353	1959.60325869	1.14528583	1972.51139006	0.93651833	2015.54598362	1.01506765	2029.62262160	0.92672016	2042.98696611	0.98211614	2090.21890008	0.98924945	2104.80381951	0.93625801	2118.62816876	0.96903497	2170.61711256	1.02845011	2185.72738246	0.98498816	2200.11963687	1.01512562	2257.41014062	0.98867263	2273.12951068	1.00469749	2288.07873011	0.98359076	2351.40528159	1.11735542	2367.76506865	1.18916621	2383.31824978	1.11419063	2453.54248735	0.97066156	2470.56461439	0.98993037
1946.01252746	1.15018142	1959.60929668	1.11579010	1972.51712505	0.92390079	2015.55253061	1.02414045	2029.62887159	0.90923880	2042.99290210	0.99776114	2090.22568407	0.99503575	2104.81029750	0.96574851	2118.63432075	0.96168688	2170.62415355	1.01103218	2185.73410444	1.01084299	2200.12602086	1.00333272	2257.41745561	1.03796115	2273.13649767	0.98127229	2288.08536710	1.01258478	2351.41289658	1.11044674	2367.77234164	1.16584788	2383.32515578	1.15535544	2453.55042434	0.95166621	2470.57219638	1.07692998
1946.01885245	1.18426888	1959.61533467	1.10419995	1972.52286004	0.92304527	2015.55907760	0.98443481	2029.63512258	0.93289256	2042.99883709	0.98843453	2090.23246905	0.96695835	2104.81677549	0.94344143	2118.64047274	0.98651080	2170.63119354	1.00671662	2185.74082743	1.03077847	2200.13240485	1.00991821	2257.42477060	0.99909138	2273.14348466	1.00535393	2288.09200409	1.02872301	2351.42051057	1.10525078	2367.77961563	1.10941096	2383.33206077	1.05228541	2453.55836133	1.01441056	2470.57977836	1.02085062
1946.02517644	1.18042362	1959.62137266	1.08379213	1972.52859503	0.94672737	2015.56562459	1.01841747	2029.64137257	0.90624937	2043.00477308	0.97991457	2090.23925404	0.98242297	2104.82325348	0.96837043	2118.64662372	0.95779747	2170.63823453	1.01708767	2185.74754942	0.99989345	2200.13878884	0.99575442	2257.43208659	0.98670343	2273.15047065	1.01361369	2288.09864008	1.00886752	2351.42812556	1.05658602	2367.78688861	1.13119382	2383.33896675	1.09765832	2453.56629831	0.98392724	2470.58736035	1.05517009
1946.03150143	1.19200420	1959.62741065	1.08104033	1972.53433002	0.94505836	2015.57217157	0.99377582	2029.64762256	0.96574833	2043.01070807	0.98086462	2090.24603803	0.99022967	2104.82973147	0.95713703	2118.65277571	0.97076414	2170.64527452	1.02725301	2185.75427141	0.99742128	2200.14517283	0.98653306	2257.43940157	1.01006416	2273.15745764	1.02687772	2288.10527707	1.02016614	2351.43573955	1.05439458	2367.79416260	1.13626088	2383.34587174	1.07219419	2453.57423531	0.99214971	2470.59494134	1.06772961
1946.03782542	1.20586699	1959.63344864	1.05670564	1972.54006401	0.94168526	2015.57871756	1.00986975	2029.65387255	0.93628474	2043.01664406	0.97478609	2090.25282202	0.99062864	2104.83620846	0.95680769	2118.65892670	0.96223329	2170.65231450	1.03290675	2185.76099240	0.99015317	2200.15155682		2257.44671556	1.01980403	2273.16444363	0.99147692	2288.11191306	0.98368373	2351.44335354	1.05110716	2367.80143559	1.07234975	2383.35277673	1.11584863	2453.58217129	1.03751832	2470.60252233	1.11508675
1946.04414941	1.11454683	1959.63948563	1.08129879	1972.54579900	0.99772566	2015.58526455	1.00273184	2029.66012154	0.93872671	2043.02257905	0.96947387	2090.25960601	0.99979036	2104.84268645	0.93606002	2118.66507769	0.98437497	2170.65935449	1.02948545	2185.76771439	1.01596048	2200.15794081		2257.45403055	0.99854931	2273.17142961	0.99993642	2288.11854905	1.00511824	2351.45096752	1.02724912	2367.80870858	1.10301538	2383.35968171	1.05719904	2453.59010828	1.00685071	2470.61010431	0.91923079
1946.05047339	1.05374116	1959.64552362	1.05749401	1972.55153300	0.95784305	2015.59181054	1.00223597	2029.66637153	0.95170505	2043.02851404	0.96380229	2090.26639000	0.97196607	2104.84916344	0.95941896	2118.67122868	0.96021744	2170.66639448	1.00917312	2185.77443538	0.97569013	2200.16432380		2257.46134554	1.00500997	2273.17841560	0.99192531	2288.12518503	1.03957686	2351.45858151	1.07647323	2367.81598056	1.08718502	2383.36658570	1.09763064	2453.59804427	1.01907461	2470.61768530	1.07338386
